題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-110-Q01,FORMAL,False,D,D,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q01.png,6bb92b4695fec22d43ae3277f0ad0a17d497280eb29ff4f1fe4d1270d8ca548e,L0362,6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts,L0278,5.5 / The Components of Nucleic Acids,6.5 / The Evolutionary Origins of Mitochondria and Chloroplasts：判斷哪些胞器具有自己的DNA，是內共生胞器的構造與起源問題。,5.5 / The Components of Nucleic Acids：胸腺嘧啶是DNA組成，提供放射性標記的判準。,D。胸腺嘧啶可標記核、粒線體及葉綠體DNA。以題目所設具有葉綠體的植物細胞為範圍，不推論每種植物細胞均含葉綠體。,"84,85,109,110,111","133,134,158,159,160",Codex /root,TCU-110-R2-Q01
TCU-110-Q02,FORMAL,False,A,A,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q02.png,76e0df71e79a0dad2f8e71992fb1c84b218c25d95f46d7c40f05bde72162110a,L1069,17.4 / Molecular Components of Translation,L1042,17.1 / The Genetic Code,17.4 / Molecular Components of Translation：將mRNA所需胺基酸種類轉成aminoacyl-tRNA synthetase種類，是翻譯組件的辨認。,17.1 / The Genetic Code：須依原圖密碼表逐個解讀密碼子並排除終止碼。,A。AUG-GGC-ACU-CAU-GGG-ACA-UAA編碼Met、Gly、Thr、His、Gly、Thr，UAA終止；共有4種胺基酸，標準教科書模型需4種相應合成酶。不能把6個胺基酸位置或不同同義密碼子當作6種酶。,"340,341,348,349,350","389,390,397,398,399",Codex /root,TCU-110-R2-Q02
TCU-110-Q03,FORMAL,False,B,B,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q03.png,d6e86eb6df0191eb74582427c0c32f4f9870796ad57e437ebf2022d01aba840c,L0611,9.6 / Biosynthesis (Anabolic Pathways),L0575,9.3 / The Citric Acid Cycle,9.6 / Biosynthesis (Anabolic Pathways)：由呼吸作用中間物供應胺基酸碳骨架，核心是分解代謝與生物合成的連結。,9.3 / The Citric Acid Cycle：草醯乙酸是檸檬酸循環中間物，支援碳骨架定位。,B。草醯乙酸接受來自麩胺酸的胺基成為天門冬胺酸，同時生成α-酮戊二酸，反應可逆。原A中文寫「檸檬酸」而英文是pyruvate（丙酮酸），是原題中英不一致，未偷偷修正文句；兩種解讀皆不改B的碳骨架判斷。,"172,173,182,183","221,222,231,232",Codex /root,TCU-110-R2-Q03
TCU-110-Q04,FORMAL,False,A,A,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q04.png,85d374f59c88f53ce083bdfe3b79668588dca891a2133f42050bce9b9abcd685,L2133,33.4 / Arthropods,,,33.4 / Arthropods：比較已描述動物物種數，決定性類群是節肢動物。,無另列最小次條目；題列四門物種數比較，由節肢動物數量決定A；33.4 Arthropods足夠，不為每個干擾門另列次分類。,A。節肢動物的已描述物種數多於題列其他動物門；原題為相對比較，不把課本歷史估計數當作2026年精確普查。,"706,707","755,756",Codex /root,TCU-110-R2-Q04
TCU-110-Q05,FORMAL,False,D,D,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q05.png,e168a4c169f64470d737fc500e0d33c122eb6c1e6d878b4b13ef3eee538127ff,L2154,34.1 / Derived Characters of Chordates,L2160,34.1 / Tunicates,34.1 / Derived Characters of Chordates：比較脊椎動物與海鞘的共有衍徵，判斷兩類共同特徵。,34.1 / Tunicates：尾索動物幼體與成體的差異防止把共有衍徵誤當終身保留。,D的脊索與背側中空神經索，是脊椎動物與海鞘在生活史某一階段共同具備；神經嵴是脊椎動物的重要特徵，不能列為所有脊索動物必有。海鞘成體會失去部分幼體脊索特徵；「共有」不等於每一成體均保留。,"719,720,721,722","768,769,770,771",Codex /root,TCU-110-R2-Q05
TCU-110-Q06,FORMAL,False,C,C,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q06.png,7ae00907fdf07ca56211b07457ce785a0c2c3a2621509e2d50da691250bb690f,L0942,15.2 / The Chromosomal Basis of Sex,,,15.2 / The Chromosomal Basis of Sex：題目追問性別分化起點，SRY位於性染色體決定路徑。,無另列最小次條目；原圖C為男性胚胎SRY表現，A為睪固酮；典型SRY→睪丸→激素順序支持C及15.2，不因題幹提妊娠就主列胚胎學。,C。典型人類發育中，SRY啟動睪丸分化的上游基因調控，睪固酮是下游產物。此為題設的一般模型，不宣稱SRY或XX/XY狀態單獨涵蓋所有性別發育差異。,"298,299,1030","347,348,1079",Codex /root,TCU-110-R2-Q06
TCU-110-Q07,FORMAL,False,C,C,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q07.png,c8a6c5a117643483a9d2bd20a8ed1246580902247d2b92d420dfb765d8f5b3fe,L3186,48.1 / Introduction to Information Processing,,,48.1 / Introduction to Information Processing：區分感覺、運動及中間神經元，直接落在資訊處理的功能分工。,無另列最小次條目；題列感覺／運動／中間／周邊，符合課本廣義功能分工；C與48.1資訊處理維持，定義邊界明載。,C。課本廣義interneurons整合中樞資訊且數量龐大；感覺神經元傳入、運動神經元傳出。此處不是僅指現代神經迴路研究中較狹義的局部抑制性中間神經元。,"1068,1069","1117,1118",Codex /root,TCU-110-R2-Q07
TCU-110-Q08,FORMAL,False,C,C,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q08.png,e1047f3802ac99e83f26e926324bf409657a2195560704c782561b1205eac66a,L1022,16.3 / A chromosome consists of a DNA molecule packed together with proteins,,,16.3 / A chromosome consists of a DNA molecule packed together with proteins：異染色質與真染色質是染色體DNA與蛋白質包裝的比較；16.3在真實目錄無更小子條目。,無另列最小次條目；原A、B的成分與位置錯誤，C凝縮程度正確。16.3無目錄子條目，可直接為最小主分類；不增造heterochromatin目錄ID。,C。異染色質較凝縮，一般轉錄活性較低；真染色質較鬆散、較易接近轉錄機器。不把所有異染色質說成永久完全不轉錄，也不將正文小標另造目錄條目。,"330,331,332","379,380,381",Codex /root,TCU-110-R2-Q08
TCU-110-Q09,FORMAL,False,A,A,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q09.png,28037cd8f41e53982c51c59daee129113b5ff3a2e56e4caf0da75de3e43cc287,L2998,45.1 / Intercellular Information Flow,,,45.1 / Intercellular Information Flow：阿斯匹靈及ibuprofen抑制前列腺素生成，課本在局部訊息傳遞中直接討論。,無另列最小次條目；課本45.1局部調節段直接列此兩藥抑制前列腺素，對應A；原題未問免疫細胞，不加無必要的免疫次章。,A。前列腺素屬局部調節分子；課本p1001將此類止痛藥與抑制前列腺素合成相連。題目是生理訊息辨認，不涉及用藥建議。,"1000,1001,1002","1049,1050,1051",Codex /root,TCU-110-R2-Q09
TCU-110-Q10,FORMAL,False,A,A,未列本輪取得的110年度生物釋疑PDF2–3；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q10.png,0369927682c622e2249eed23ed713204ba2c97010af555f12e8369d7abb42c35,L1232,20.1 / DNA Sequencing,,,20.1 / DNA Sequencing：雙去氧核苷酸的鏈終止原理屬DNA定序。,無另列最小次條目；四選項重新逐項辨认，链終止為定序A；修正文中非原選項的例子。20.1 DNA Sequencing比DNA複製更直接。,A。Sanger定序利用缺乏3′-OH的ddNTP使延長鏈停止；DNA聚合需可繼續形成磷酸二酯鍵的3′-OH。PCR擴增通常不使用鏈終止ddNTP；微陣列比較雜交訊號，BiFC觀察蛋白互作，皆不是此定序原理。,"416,417,418","465,466,467",Codex /root,TCU-110-R2-Q10
