題號,分類狀態,待審,原答案,採計答案,釋疑,本地原卷PDF頁,官方混科卷生物PDF頁,原卷印刷頁,答案PDF頁,官方答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
ISU-108-Q01,FORMAL,False,A,A,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q01.png,38258e4a15b8e7a2d5190433b293a7561358f64b2360929bdfe1aa8af4773c20,L2843,42.6 / Control of Breathing in Humans,L0181,3.3 / Buffers,42.6 / Control of Breathing in Humans：946頁人類呼吸控制直接以通氣、血CO2與pH的聯繫解釋酸鹼變化；急性CO2滯留的方向以此最小條目最貼切。,3.3 / Buffers：酸鹼與碳酸緩衝平衡解釋PCO2增加如何降低pH。,採A。急性呼吸性酸中毒的原發變化為PCO2上升、pH下降；不能把代謝性酸中毒的碳酸氫根下降當作定義。腎臟增加排酸及保留HCO3的代償需時間，與原發變化分開。,"52,946,948","101,995,997",Codex /root,ISU-108-R2-Q01
ISU-108-Q02,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q02.png,f59f7ec94d27b3bb4dd5cd98faf0a37858a6e0cc210bb44a554e80bdb61ecd9c,L2776,42.2 / Maintaining the Heart’s Rhythmic Beat,,,42.2 / Maintaining the Heart’s Rhythmic Beat：P波的心房去極化屬心臟電傳導與節律；928頁圖42.8的第一段波形對應心房。,無另列最小次條目；問ECG特定P波而非通用興奮性，928圖與原作者P波段支持心臟節律；校正文目錄Rhythms異文。,採B。P波代表心房去極化，電活動先於機械收縮；QRS與T波分別主要反映心室去極化與再極化。正文及PDF46目錄真實標題為Maintaining the Heart’s Rhythmic Beat，本地文字目錄的Rhythms異文原檔保留。,"928,929","977,978",Codex /root,ISU-108-R2-Q02
ISU-108-Q03,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q03.png,b4cf792d7e1c1c1fdeed4e05546150ccb3a146804a590ea2884408dc20be1131,L3245,49.1 / The Peripheral Nervous System,,,49.1 / The Peripheral Nervous System：題目要求副交感阻斷後的器官反應，應歸周邊神經系統的自律神經分支與作用。,無另列最小次條目；自律神經阻斷是操弄變項，採49.1周邊系統；C器官結果符合，未把消化器官字樣當主題。,採C。副交感通常促進消化活動並減慢心率，阻斷會抑制其促進胃腸蠕動的作用。腸神經系統有自身調節，不能解讀成所有蠕動完全停止；A、B、D不是題設典型反應。,"1088,1089,1090","1137,1138,1139",Codex /root,ISU-108-R2-Q03
ISU-108-Q04,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q04.png,fe19c986295d5f2fb21b2d07c2566d5f2e458c136c3188903931e8b904673b01,L3209,48.3 / Generation of Action Potentials: A Closer Look,L0450,7.4 / The Need for Energy in Active Transport,48.3 / Generation of Action Potentials: A Closer Look：關鍵是電壓開啟鈉通道造成動作電位的離子流，與鈉鉀幫浦不同。,7.4 / The Need for Energy in Active Transport：主動運輸的鈉鉀幫浦三鈉出、二鉀入直接排除B，不能混為通道功能。,採B。三Na向外是Na+/K+-ATPase的運輸計量；電壓門控鈉通道是選擇性的被動通路，典型生理梯度下Na順電化學梯度流入。D的向內方向依賴題目隱含正常梯度，並非任何條件都向內。,"135,136,137,1073,1074","184,185,186,1122,1123",Codex /root,ISU-108-R2-Q04
ISU-108-Q05,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q05.png,97c2fc85b36310caec7952360eabde4b26ac7dfce0b6b145c2e76c9f09004688,L2711,41.3 / Digestion in the Stomach,,,41.3 / Digestion in the Stomach：胃的化學消化小節直接說明壁細胞分泌H+與胃酸形成。,無另列最小次條目；原題問胃壁細胞，B直接落胃化學消化；未因離子運輸泛化成細胞膜章。,採B。壁細胞向胃腔分泌H+，降低胃內pH；胃腔的黏液與碳酸氫根保護不是本題所問的壁細胞主要功能。,"907,908","956,957",Codex /root,ISU-108-R2-Q05
ISU-108-Q06,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q06.png,8fba7aa8dfbd8c09b161d9e785a05c9568597699df87054cdf00c69f1f3b8f5f,L2789,42.3 / Blood Pressure,L2783,42.3 / Blood Vessel Structure and Function,42.3 / Blood Pressure：判斷主動脈是否為周邊阻力主要調節部位，核心在血壓與小動脈管徑調控。,42.3 / Blood Vessel Structure and Function：血管構造與功能說明彈性動脈承受壓力並以彈性回縮維持血流。,採C。主動脈由左心室接出，彈性伸展與回縮可緩衝脈動；主要可變阻力來自小動脈而非主動脈。Windkessel是題文用語，Campbell以彈性回縮描述同一功能；原題老化敘述保留，不以它取代阻力判別。,"929,930,931","978,979,980",Codex /root,ISU-108-R2-Q06
ISU-108-Q07,FORMAL,False,B,B,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,1,18,1,1,24,,questions/Q07.png,4798ea65fd5ff60a6dbc3ee45b85c33effdfab72ad0c6b2392202d9f13df64e1,L3206,48.3 / Graded Potentials and Action Potentials,L3193,48.2 / Formation of the Resting Potential,48.3 / Graded Potentials and Action Potentials：興奮性細胞的判別在能否產生動作電位，歸入動作電位的主要訊息功能。,48.2 / Formation of the Resting Potential：靜止膜電位節用以排除非興奮性細胞一概沒有膜電位、幫浦或通道的說法。,採B。興奮性細胞通常能在適當刺激下產生動作電位；非興奮性細胞仍可具有靜止膜電位、離子通道與鈉鉀幫浦，故A、C、D不成立。,"1069,1070,1072,1073","1118,1119,1121,1122",Codex /root,ISU-108-R2-Q07
ISU-108-Q08,FORMAL,False,D,D,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q08.png,5012900bb8c8d9661889ca4837f111a609bc0e998e2f885813991c9e2ed52524,L2802,42.4 / Blood Composition and Function,,,42.4 / Blood Composition and Function：血液組成與功能條目內的造血與EPO調節，直接涵蓋腎臟分泌促紅血球生成素。,無另列最小次條目；EPO腎臟來源與造血有直接正文，真實目錄最小為Blood Composition and Function；Cellular Elements只是正文子題，不創目錄ID。,採D。腎臟為成人EPO的主要來源，EPO促進紅血球生成；不是以抑制紅血球、刺激白血球或抑制凝血為其主要作用。題目說主要，未排除其他發育階段或組織來源。,"934,935,936,937","983,984,985,986",Codex /root,ISU-108-R2-Q08
ISU-108-Q09,FORMAL,False,C,C,未列本輪取得的108年度釋疑PDF26–27；依同年答案採計，不宣稱沒有其他未取得公告,2,19,2,1,24,,questions/Q09.png,8714580a7e8b8d726db49d941ea3d06c646f50a9998ef645d5088c16f4334738,L2394,36.4 / Mechanisms of Stomatal Opening and Closing,L2286,"35.1 / Dermal, Vascular, and Ground Tissues",36.4 / Mechanisms of Stomatal Opening and Closing：膨壓改變控制氣孔開閉，應以氣孔開閉機制為主條目。,"35.1 / Dermal, Vascular, and Ground Tissues：真實最小目錄的組織系統條目提供保衛細胞為表皮特化細胞的來源。",採C。保衛細胞膨脹、膨壓上升使氣孔張開，而失水鬆弛使之關閉；797頁圖支持。保衛細胞具有葉綠體。D釋氧吸CO2僅在光合作用的脈絡理解，不能泛化成任何時間的淨氣體通量。,"762,763,796,797,798","811,812,845,846,847",Codex /root,ISU-108-R2-Q09
ISU-108-Q10,FORMAL,False,A,A,108年度7/1審議會議釋疑維持原答案A,2,19,2,1,24,26,questions/Q10.png,8501cead069ddf03ed27affbf8036bdb39925528e98d796bb676bbe6ad626561,L3351,50.2 / Hearing and Equilibrium in Mammals,L3332,50.1 / Transmission,50.2 / Hearing and Equilibrium in Mammals：毛細胞、柯蒂氏器及耳蝸訊號中繼直接落在脊椎動物聽覺與平衡小節。,50.1 / Transmission：感覺傳遞至CNS的小節區分受器電位與經傳入神經元傳送，解釋「直接」錯誤。,採A；同年釋疑PDF26維持A。耳蝸毛細胞經傳入感覺神經元傳遞，不能直接把訊息送到大腦。原題把聽覺毛細胞與廣義前庭毛細胞合述；釋疑又說半規管和耳蝸共同影響平衡，應保留其措辭但區分耳蝸的聽覺與前庭的平衡功能。Vander13e頁碼只讀到釋疑所引內容。,"1109,1112,1113,1114,1115,1116","1158,1161,1162,1163,1164,1165",Codex /root,ISU-108-R2-Q10
