題號,分類狀態,待審,原答案,依已取得來源採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-106-Q01,FORMAL,False,A,A,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q01.png,38ef6982db07806314d6d4d6bdf0b9e9562cfdd96845f38dccbbb7815b545b7f,L1000,16.1 / Building a Structural Model of DNA,L0284,5.5 / The Structures of DNA and RNA Molecules,16.1 / Building a Structural Model of DNA：用雙股DNA的鹼基互補關係計算組成比例，直接對應DNA結構模型與Chargaff關係。,5.5 / The Structures of DNA and RNA Molecules：5.5提供核酸結構與互補配對的分子基礎,原表A。C=18%則G=18%，A與T合計64%，各32%。36%是G+C，64%是A+T，不能直接當作A；計算以細菌雙股DNA為前提。,"86,315,316,317,318,319,320","135,364,365,366,367,368,369",Codex /root,TCU-106-R2-Q01
TCU-106-Q02,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q02.png,f14d8197a44fb86f7659d59b9b96f042852b09f00c2b3aff24a63997015e3caa,L0711,11.2 / Intracellular Receptors,L3004,45.1 / Cellular Hormone Response Pathways,11.2 / Intracellular Receptors：鑑別可通過膜並結合胞內受器的配體，決策核心是胞內受器位置。,45.1 / Cellular Hormone Response Pathways：比較水溶性與脂溶性激素的受器及後續反應路徑,原表C。睪固酮是脂溶性類固醇，可與胞內受器作用；IGF、EGF屬蛋白訊號，腎上腺素主要藉膜受器。並非任何激素都穿膜直接結合細胞質受器。,"220,1002,1003","269,1051,1052",Codex /root,TCU-106-R2-Q02
TCU-106-Q03,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q03.png,28811226433fce8d79734cfcffcbfed7b24540415396137a9747785e04b40b0e,L0585,9.4 / Chemiosmosis: The Energy-Coupling Mechanism,"L0582,L0365",9.4 / The Pathway of Electron Transport ; 6.5 / Mitochondria: Chemical Energy Conversion,9.4 / Chemiosmosis: The Energy-Coupling Mechanism：判斷氧化磷酸化產生ATP的正確膜位置，化學滲透偶聯是核心。,9.4 / The Pathway of Electron Transport：電子傳遞鏈位於粒線體內膜；6.5 / Mitochondria: Chemical Energy Conversion：粒線體分區對照基質與內外膜,原表D。哺乳類電子傳遞鏈與ATP合成酶在粒線體內膜，不在細胞質膜。糖解位於細胞質、丙酮酸氧化及檸檬酸循環主要在基質。教材圖中的succinate dehydrogenase是內膜相關例外，因此「循環全數酵素都只在基質」須避免絕對化。,"110,168,169,170,171,172,173,174,175,176,177","159,217,218,219,220,221,222,223,224,225,226",Codex /root,TCU-106-R2-Q03
TCU-106-Q04,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q04.png,1c114bcb53af09dfec2fb84ae0728579321fa13397dbb801a0393fd05ca56bed,L1754,27.4 / Archaea,L0414,7.1 / Evolution of Differences in Membrane Lipid Composition,27.4 / Archaea：高溫古菌的膜特徵屬古菌的適應與分類特性。,7.1 / Evolution of Differences in Membrane Lipid Composition：膜脂組成隨環境演化的原理補足耐熱機制,原表C。某些嗜熱古菌的雙極四醚脂質可跨膜形成單分子層，提升膜穩定性，對應題目tetraether／單層選項。Campbell只提供古菌膜及膜脂適應的一般框架，四醚的具體結構另查原始研究；不是所有古菌或所有高溫生存都必須採此結構。,"129,574,575,583,585,586","178,623,624,632,634,635",Codex /root,TCU-106-R2-Q04
TCU-106-Q05,FORMAL,False,D,D,維持原答案D,2,2,1,7,questions/Q05.png,2201dcce151e878813a803fb23df15fcc370547a2c87238654d65f123ef54eb5,L2927,43.4 / Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance,"L2896,L2899",43.3 / Helper T Cells: Activating Adaptive Immunity ; 43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens,43.4 / Evolutionary Adaptations of Pathogens That Underlie Immune System Avoidance：錯誤選項落在HIV逃避免疫與受體的機制，對應病原體免疫逃避。,43.3 / Helper T Cells: Activating Adaptive Immunity：區分CD4輔助T細胞與CD8細胞毒性T細胞；43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens：追溯B細胞分化成漿細胞及抗體作用,原表及同年釋疑均D。HIV感染與輔助T細胞CD4相關，CD8不是本題所稱的HIV受體。輔助T細胞促進體液與細胞免疫，漿細胞分泌抗體；不可將CD4與CD8標誌混用。,"963,964,965,971,972,973","1012,1013,1014,1020,1021,1022",Codex /root,TCU-106-R2-Q05
TCU-106-Q06,FORMAL,False,B,B,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q06.png,5ca5a2d763c5e6e5fabbd4dc445ce8fbd3ae2204454f382024455ce0b7e7d22f,L3150,47.2 / Organogenesis,"L3137,L3144,L3114","47.1 / Cleavage ; 47.2 / Gastrulation ; 46.5 / Conception, Embryonic Development, and Birth",47.2 / Organogenesis：事件排序最需要區分神經胚形成及器官發生的關係。,"47.1 / Cleavage：卵裂建立早期胚胎；47.2 / Gastrulation：原腸化形成胚層；46.5 / Conception, Embryonic Development, and Birth：受精與著床的時間軸用來辨認題幹限制",原表B，依事件起始順序為IV受精→I卵裂→V原腸化→II神經胚形成→III器官發生。原題說「受精卵著床於子宮後」卻把受精、卵裂列入，時間前提不精確；教材也把神經胚形成列為器官發生的一部分，兩者不應解讀成完全互斥的先後期。分類照存這兩項文字限制。,"1034,1035,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055","1083,1084,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104",Codex /root,TCU-106-R2-Q06
TCU-106-Q07,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q07.png,91ac4da26cd99dcc6660c8e7d2e401fb127df261e19d78b3929a09738df44ae9,L1327,21.4 / Transposable Elements and Related Sequences,"L0997,L1136",16.1 / The Search for the Genetic Material: Scientific Inquiry ; 18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs,21.4 / Transposable Elements and Related Sequences：要辨認McClintock發現轉位子的實驗，核心落在可轉位元件。,16.1 / The Search for the Genetic Material: Scientific Inquiry：Griffith與Hershey–Chase支持遺傳物質的辨識；18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs：Fire及Mello對應雙股RNA引發的RNA干擾,原表C。McClintock由玉米遺傳與色素斑駁追蹤可移動遺傳元件，不能改說以病毒感染玉米而發現轉位子。其餘選項涉及轉形、同位素追蹤DNA／蛋白質及RNAi，分列次目，不拿其他實驗替代其工作。,"315,316,317,379,380,451,452","364,365,366,428,429,500,501",Codex /root,TCU-106-R2-Q07
TCU-106-Q08,FORMAL,False,B,B,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q08.png,eb8a02fdd9166e928318cabb6c37255b089cea485b087627284f24aa9a966a49,L1010,16.2 / DNA Replication: A Closer Look,L1007,16.2 / The Basic Principle: Base Pairing to a Template Strand,16.2 / DNA Replication: A Closer Look：引子酵素、解旋酵素與DNA複製機制屬DNA複製細節。,16.2 / The Basic Principle: Base Pairing to a Template Strand：半保留模式與模板互補配對解釋Meselson–Stahl實驗結果,原表B。Primase製造RNA引子，不是DNA引子；DNA聚合酶再延伸。解旋酵素打開雙股，複製遵循半保留；噬菌體DNA進入宿主也不等於其蛋白外殼一同進入。,"321,322,323,324,325,326,327","370,371,372,373,374,375,376",Codex /root,TCU-106-R2-Q08
TCU-106-Q09,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q09.png,dd727a6dda95ed03b6a7c74c948fe36c4d4d7fe29b33d4cc491ce0c5260d3d5e,L1136,18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs,,,18.3 / Effects on mRNAs by MicroRNAs and Small Interfering RNAs：雙股RNA使序列相符mRNA失去表現能力，直接對應miRNA／siRNA的作用。,無另列最小次目；本題考點已由主目錄條目完整涵蓋。,原表D。RNAi依序列互補引導mRNA降解或抑制翻譯；A插入基因組、B把作用物換成雙股DNA、C降解對應DNA，都不是此題所述RNAi。RNA可先被加工，不能把完整雙股RNA理解為直接取代核糖體。,"379,380","428,429",Codex /root,TCU-106-R2-Q09
TCU-106-Q10,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q10.png,26d2780dc87e592cec0f59351ee9f4180e249470c452e4f056614fe2ea915f0e,L2957,44.2 / Forms of Nitrogenous Waste,L2960,44.2 / The Influence of Evolution and Environment on Nitrogenous Wastes,44.2 / Forms of Nitrogenous Waste：比較氨、尿素與尿酸的毒性、耗水量及代謝代價。,44.2 / The Influence of Evolution and Environment on Nitrogenous Wastes：不同動物排氮策略受演化史與棲地水分影響,原表C。氨比尿素毒性高，需要大量水稀釋排出；尿素降低毒性但合成需能量，尿酸更省水而能量代價較高。排泄物種類不是只由棲地單一因素決定。,"982,983","1031,1032",Codex /root,TCU-106-R2-Q10
TCU-106-Q11,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q11.png,8a0eb800882d261763d98154d21a307e194095a71d06ca63aafc6385fc54f6fa,L3261,49.2 / Emotions,L3258,49.2 / Biological Clock Regulation,49.2 / Emotions：辨識邊緣系統相關結構，教材以情緒功能整理此群構造。,49.2 / Biological Clock Regulation：視交叉上核屬生理時鐘調節，提供排除選項的直接對照,原表C。杏仁核、海馬迴及部分丘腦屬教材的邊緣系統；視交叉上核SCN為晝夜節律中樞。不能把「部分丘腦」擴大成整個丘腦皆屬同一情緒迴路。,"1091,1092,1093,1094,1095","1140,1141,1142,1143,1144",Codex /root,TCU-106-R2-Q11
TCU-106-Q12,FORMAL,False,A,A,維持原答案A,3,3,1,8,questions/Q12.png,b467e5ad27b9992fa7513635abef877d391cd44d618512e40588130337915e01,L1741,27.3 / Metabolic Cooperation,,,27.3 / Metabolic Cooperation：生物膜是原核細胞代謝合作的實例，目錄未另設biofilm葉條目。,無另列最小次目；本題考點已由主目錄條目完整涵蓋。,原表及釋疑A。題目說「皆由單一種」過度絕對；教材印刷582明寫生物膜可由一種或多種原核生物形成。釋疑把定義寫成多物種，也不代表單一物種不能形成生物膜。維持A並保留公告定義比教材狹窄的差異。,"582,583,587,588,589","631,632,636,637,638",Codex /root,TCU-106-R2-Q12
TCU-106-Q13,FORMAL,False,B,B,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q13.png,ac3dd9bb3da1ff7ea58bb053157eee9772a33380f432c7ae64e0391fea5535dc,L0349,6.4 / Lysosomes: Digestive Compartments,L0911,14.4 / Recessively Inherited Disorders,6.4 / Lysosomes: Digestive Compartments：兩病共同考溶體酵素缺損與受質累積，溶體是主分類。,14.4 / Recessively Inherited Disorders：兩者可呈體染色體隱性遺傳，補足遺傳疾病背景,原表B。Tay–Sachs是HEXA相關溶體酵素功能不足，使GM2 ganglioside尤其在神經細胞累積，非肝臟膽固醇堆積。Pompe為GAA／酸性α葡萄糖苷酶不足，溶體肝醣累積且肌肉常受累，不能縮成只影響肝臟。,"107,108,285,286","156,157,334,335",Codex /root,TCU-106-R2-Q13
TCU-106-Q14,FORMAL,False,D,D,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q14.png,d7cd5131401d712b6c446de8edc9bccb084fbc4085a6b05ed45a14b12968e061,L0585,9.4 / Chemiosmosis: The Energy-Coupling Mechanism,L0582,9.4 / The Pathway of Electron Transport,9.4 / Chemiosmosis: The Energy-Coupling Mechanism：比較電子流阻斷與質子梯度解偶聯，DNP影響化學滲透產ATP最直接。,9.4 / The Pathway of Electron Transport：氰化物抑制呼吸電子傳遞，與DNP作用點不同,原表D。氰化物抑制末端電子傳遞；DNP使質子可繞過ATP合成酶回流而解偶聯，不能當成同一種電子傳遞抑制劑。兩者都能降低氧化磷酸化ATP產生，但對電子流的直接影響不同。,"174,175,176,177,178,186","223,224,225,226,227,235",Codex /root,TCU-106-R2-Q14
TCU-106-Q15,FORMAL,False,C,C,未列已取得同年公告的10筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q15.png,20fc88fd0bdbd21e0503db5df9b52d29193c1ef2940aa917eefb39688704c5d4,L1085,17.5 / Types of Small-Scale Mutations,"L0911,L0268",14.4 / Recessively Inherited Disorders ; 5.4 / Protein Structure and Function,17.5 / Types of Small-Scale Mutations：判讀單一核苷酸替換引起錯義突變，主題是小尺度突變種類。,14.4 / Recessively Inherited Disorders：鐮刀型貧血提供隱性疾病例子；5.4 / Protein Structure and Function：單一胺基酸變動如何改變血紅素結構與功能,原表C，對應2、3。典型鐮刀型變異是β-globin第六位Glu換成Val，由點突變造成，不是選項1的鹼基刪除，也不是選項4的α-globin突變。教材圖5.19直接顯示β鏈胺基酸替換及蛋白聚集，避免把基因／蛋白／細胞表型混作同一層級。,"80,81,82,286,357,358,359","129,130,131,335,406,407,408",Codex /root,TCU-106-R2-Q15
