題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-114-Q01,FORMAL,False,B,B,維持原答案B,2,2,4,"7,8",questions/Q01.png,97c70b8f8ee151235ae571cdee4502a19199213a81fafaae678ce19073a61ccf,L3692,55.2 / Primary Production in Terrestrial Ecosystems,,,題目比較陸域生態系NPP對環境的反應，最小條目為陸域初級生產量。,無；能量收支是同一判別的背景，不另加寬泛章節。,官方B。教材支持溫度與降水共同影響陸域NPP；CO₂也可直接影響光合作用，不能把本題相對選項推成所有情境固定的限制因子排名。,"1241,1242,1243,1244","1290,1291,1292,1293",Codex /root,CMU-114-R2-Q01
CMU-114-Q02,FORMAL,False,C,C,未列於已取得114生物釋疑PDF7–15；依同年度原答案PDF4採計,2,2,4,,questions/Q02.png,c0c84697db0af029a651e4bd8ad8c076b6b71a313f6eb0954324a4e04081b745,L1465,23.4 / Natural Selection: A Closer Look,L1471,23.4 / Sexual Selection,兩端體型受偏好而中間型不利，屬分裂式選擇，位於自然選擇的細看條目。,配偶選擇是造成適存度差異的機制，因此保留性擇同章最小次條目。,官方C。穩定式選擇有利中間型，方向式有利單一端；兩端共同有利才符合題文。,"497,498,499","546,547,548",Codex /root,CMU-114-R2-Q02
CMU-114-Q03,FORMAL,False,A,A,未列於已取得114生物釋疑PDF7–15；依同年度原答案PDF4採計,2,2,4,,questions/Q03.png,172e83df8b647de2b81a743a06fb889bf5424fe029d6855458cabe9bebb45836,L3564,53.4 / “Trade-offs” and Life Histories,L3561,53.4 / Diversity of Life Histories,少數後代、較晚生殖及較多親代投資，重點是生活史資源權衡及K選擇。,生活史多樣性提供生殖時間、次數與後代數的比較框架。,官方A。採題目的K選擇理想型；教材提醒生活史特徵不一定總是成套對應r/K二分，不把所有靈長類絕對化。,"1200,1201,1202","1249,1250,1251",Codex /root,CMU-114-R2-Q03
CMU-114-Q04,FORMAL,False,D,D,維持原答案D,2,2,4,8,questions/Q04.png,5824e17bd2559545d96c9eab40bfc7aa73ca1b4a7c73f1caf8cc3cd7de892b76,L3709,55.4 / Decomposition and Nutrient Cycling Rates,L3692,55.2 / Primary Production in Terrestrial Ecosystems,分解者減少先影響養分回收及循環速率，是因果鏈的直接機制。,養分供應限制陸域初級生產，連接到題目詢問的NPP結果。,官方D並維持。能量流動與物質循環不同，分解作用不把能量重新送回生產者；回收養分才是教材支持的連結。釋疑頁碼不沿用為本地12e頁碼。,"1243,1248,1249","1292,1297,1298",Codex /root,CMU-114-R2-Q04
CMU-114-Q05,FORMAL,False,B,B,維持原答案B,2,2,4,"8,9",questions/Q05.png,e31af9b2a0694a4f0bd4e7785d1f30cf1511707bab1dc4298699a1950fedab69,L3614,54.2 / Diversity and Community Stability,L3604,54.1 / Positive Interactions,物種多樣性與群落生產力、穩定性的實驗比較直接位於此條目。,正向交互作用可解釋物種互助與促進效應；保留跨概念而同章的機制。,官方B並維持。教材有較多樣群落可較高生產力的實驗依據；效果依物種組成及條件，不聲稱任何新增物種必然增加產量。,"1220,1221,1223","1269,1270,1272",Codex /root,CMU-114-R2-Q05
CMU-114-Q06,FORMAL,False,C,C,未列於已取得114生物釋疑PDF7–15；依同年度原答案PDF4採計,2,2,4,,questions/Q06.png,afc6eb75570665b4090c02728f6d1d3d21517a30df5884105bbc5dba48e3b2c4,L1412,22.3 / Homology,,,鯨類退化後肢是由共同祖先繼承之同源構造證據，歸22.3 Homology。,無；退化構造在正文中，並不是本地目錄另有的最小節點。,官方C。殘存構造可失去祖先主要功能但仍有其他用途；不把退化等同完全無功能，也不另造Vestigial Structures目錄。,"479,480","528,529",Codex /root,CMU-114-R2-Q06
CMU-114-Q07,FORMAL,False,D,D,維持原答案D,3,3,4,"9,10",questions/Q07.png,f6c9a389bd2432c8dfd2b351e99a9bcb466f67cc315ef1e0a9673aec8e8e77bc,L1452,23.3 / Natural Selection,L1465,23.4 / Natural Selection: A Closer Look,比較兩地等位基因頻率變化與題設選擇壓力，主軸為自然選擇改變頻率。,适存度差異及選擇方向的解讀由23.4的最小條目補足。,官方D並維持。A區頻率增加可符合有利選擇；B區5→6→7→6→5的短期資料本身不能證明負向選擇，也未排除漂變。採計D與資料可推論範圍分開。,"494,497,498","543,546,547",Codex /root,CMU-114-R2-Q07
CMU-114-Q08,FORMAL,False,C,C,維持原答案C,3,3,4,10,questions/Q08.png,b72003548ab2e94ffe4dad41964f4a1ca05d0ba755b75cbb37a0b7ac428dcd2d,L1474,23.4 / Balancing Selection,L1452,23.3 / Natural Selection,題問如何維持兩型並存，直接對照平衡式選擇條目。,地域環境差異造成選擇壓力差異，是平衡維持的候選背景機制。,官方C並維持。同時存在不等於已證明穩定平衡；題表沒有雜合子適存度或頻率依賴證據，不能擅自斷言雜合子優勢。共用Q7–8表格完整保留。,"494,500,501","543,549,550",Codex /root,CMU-114-R2-Q08
CMU-114-Q09,FORMAL,False,A,A,維持原答案A,3,3,4,"10,11",questions/Q09.png,4b1dc003d83d6fe1b3ce61736150371c51a020bd26bff8ed34583380f53dd618,L3768,56.3 / Landscape Structure and Biodiversity,L3771,56.3 / Establishing Protected Areas,破碎棲地、邊緣與廊道的直接目錄條目是景觀結構與生物多樣性。,保護區設計討論核心面積、邊緣及連通性的取捨。,官方A並維持。釋疑額外假定已無法擴大核心區，但題幹未明說；教材也支持較大核心及提醒廊道可傳播疾病，不能將D擴大核心說成一般無效。,"1270,1271,1272","1319,1320,1321",Codex /root,CMU-114-R2-Q09
CMU-114-Q10,FORMAL,False,D,D,未列於已取得114生物釋疑PDF7–15；依同年度原答案PDF4採計,3,3,4,,questions/Q10.png,9947d275309f6922662ccea1cc73fd92a0a0e88591228772dbd78fe7bf449a02,L1877,29.2 / Bryophyte Gametophytes,L1890,29.3 / Origins and Traits of Vascular Plants,苔蘚配子體的游動精子需水完成受精，直接回答水的生殖角色。,蕨類所屬維管束植物起源與特徵及生活史圖同樣顯示精子需水。,官方D。兩者差異在優勢世代和維管束；共享的依水受精不能誤成種子植物式花粉傳遞。,"624,625,629,630","673,674,678,679",Codex /root,CMU-114-R2-Q10
