題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,目錄行號,目錄PDF頁,補充來源,第二輪紀錄
CMU-115-Q01,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q01.png,bc1ad459f0c0a280f09c5b3a7daa20f2bbdd55e548b3b695d48a9d32232178b9,L0614,9.6 / Regulation of Cellular Respiration via Feedback Mechanisms,L2743,41.5 / Regulation of Energy Storage,核心是以異位效應物調節糖解及糖質新生的代謝流量，採9.6酵素回饋調節最小條目。,41.5補充升糖素促進肝臟釋糖的生理調控，不將激素名稱直接當主分類。,"D；F2,6BP下降使PFK-1活化減少、FBPase-1抑制解除。Campbell只提供調節框架，分子細節由原始研究補足。","183,184,916","232,233,965","614,2743","37,46",S01,CMU-115-R2-Q01
CMU-115-Q02,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q02.png,df8e0402b609a7ae61a319e3dccc840f7cc19153a12023e95613a33192d7c793,L2743,41.5 / Regulation of Energy Storage,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,考肝臟能向血液輸出葡萄糖的組織特性；41.5血糖恆定內容位於Regulation of Energy Storage之下，較單限糖解或糖質新生精確。,6.4內質網條目保留題目指定的酵素膜系統位置；不是憑內質網一詞取代血糖功能主軸。,B；肝臟G6Pase系統位於ER，催化產生游離葡萄糖。骨骼肌缺乏支撐淨釋糖的肝型系統；勿擴大為所有G6Pase同功型均不存在。,"915,916,104,105","964,965,153,154","2743,343","36,46",S02,CMU-115-R2-Q02
CMU-115-Q03,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q03.png,33bc92e4d58c081dbfa9066f7fae0c5e05a5c823e8783c344dca4e7ad644c1b9,L0656,10.3 / Linear Electron Flow,,,NADP+是線性電子流末端受體；循環電子流不產NADPH，故選Linear Electron Flow。,不增加呼吸電子傳遞章；本題明確限定植物光反應。,D；電子經PSI、ferredoxin及NADP+ reductase轉至NADP+形成NADPH。,"197,198","246,247",656,37,,CMU-115-R2-Q03
CMU-115-Q04,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q04.png,c8113bbff41247e26c425d2df5f305ccd0bdbed770a45ee9a91ff58b0ecda0a5,L0611,9.6 / Biosynthesis (Anabolic Pathways),,,題目是從丙酮酸合成葡萄糖的同化途徑；Biosynthesis直接提到由pyruvate製造glucose，不能因oxaloacetate而誤列TCA主分類。,粒線體只是反應區室，不另計細胞構造章。,B；題目指定的malate輸出路線為pyruvate→oxaloacetate→malate。這是其中一條輸出路線，並非所有糖質新生均必經malate。,183,232,611,37,S03,CMU-115-R2-Q04
CMU-115-Q05,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q05.png,56df4187ed588d0c580cf4787ff758e1ee46d0576e653d149e6c123582b43610,L0343,6.4 / The Endoplasmic Reticulum: Biosynthetic Factory,,,粗糙ER參與分泌蛋白的初步醣基化；目錄最小項是The Endoplasmic Reticulum: Biosynthetic Factory，不自造N-linked子目錄。,Golgi為干擾選項及後續修飾場所，不列次分類。,D；初步N-linked醣基化在粗糙ER，後續修飾可在Golgi進行。,"104,105,106","153,154,155",343,36,,CMU-115-R2-Q05
CMU-115-Q06,FORMAL,False,A,A或D,原A，更正為A或D,2,1,8,questions/Q06.png,7a25ed0ad6163807a80eaa15b48d5443506542457b772c934a7c3913c4bd3729,L3633,54.3 / Ecological Succession,L3564,53.4 / “Trade-offs” and Life Histories,核心是演替初期先驅物種的拓殖特徵，主列Ecological Succession。,53.4生活史取捨支援短壽命、多後代及親代投資的比較。,原答案A；官方釋疑第8頁更正A或D，據此採計。A原文附加親代照顧周全與釋疑分析不一致；分類仍明確為演替及生活史，差異已留存而非改寫原題。,"1229,1230,1201,1202","1278,1279,1250,1251","3633,3564","49,50",,CMU-115-R2-Q06
CMU-115-Q07,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q07.png,27eb5dd335b5ed4f45098329f2a31022253af166984077d7db091474f73493b3,L2802,42.4 / Blood Composition and Function,,,教材在Blood Composition and Function下直接說明低氧→腎臟EPO→紅血球生成，主列42.4。,一般內分泌章不再重複列入；42.4已包含本題整條因果鏈。,D；低氧提高腎臟EPO分泌並刺激紅血球生成。,"934,935,936","983,984,985",2802,46,,CMU-115-R2-Q07
CMU-115-Q08,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,2,1,,questions/Q08.png,37ab1bc156422a5ada90d67b84b87e4da4db00b00abda516ed1bf2c3d27968ee,L3231,48.4 / Neurotransmitters,,,考箭毒阻斷神經肌肉接合處的ACh作用，最小目錄是Neurotransmitters。,骨骼肌癱瘓是突觸阻斷後果，不另列整套肌肉收縮分類。,C；curare拮抗神經肌肉接合處的菸鹼型乙醯膽鹼受體。,"1080,1081","1129,1130",3231,48,,CMU-115-R2-Q08
CMU-115-Q09,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,3,1,,questions/Q09.png,15872d26d17c1a270bed33c55def1ae24af9171f0b87d3bbdf6c03ed05e3f89f,L2998,45.1 / Intercellular Information Flow,,,前列腺素是旁分泌／自分泌的局部調節物；Intercellular Information Flow正文直接以aspirin阻止其合成為例。,疼痛與發炎是作用結果，不把整個免疫章列為主分類。,A；COX催化前列腺素合成途徑，aspirin抑制COX。教材明示抑制前列腺素合成，酵素名稱另有研究證據。,"1000,1001","1049,1050",2998,47,S04,CMU-115-R2-Q09
CMU-115-Q10,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,3,1,,questions/Q10.png,4b736e4180d3d3b9320d46f38d8964275b35c59101904efefd89a857b73a0ea4,L2483,38.1 / Methods of Pollination,L3601,54.1 / Exploitation,Campbell索引將Coevolution指向p825；其相互施加選汰壓力的定義實際位於38.1 Methods of Pollination，故按教材真實位置主列此項。,54.1 Exploitation包含寄生互動，支援本題病毒與宿主情境；不將共同演化自造為Ch54目錄條目。,A；病毒與宿主均出現受對方選汰影響的可遺傳變化。B含人為改造，C與D未呈現雙方相互演化。題目未限定植物，主分類代表教材定義位置。,"825,1217,1219","874,1266,1268","2483,3601","45,50",,CMU-115-R2-Q10
CMU-115-Q11,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,3,1,,questions/Q11.png,c61569e90718f3612c2c2b5212d7dc9553f9085a8779357f854a92771d1e32f6,L1455,23.3 / Genetic Drift,,,奠基者效應是少數個體建立族群造成的抽樣漂變，最小條目Genetic Drift已涵蓋。,不是遷移形成基因流，也不需要另列自然選擇。,C；小樣本奠基族群的等位基因頻率可因偶然抽樣偏離原族群。,"494,495","543,544",1455,41,,CMU-115-R2-Q11
CMU-115-Q12,FORMAL,False,D,D,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,3,1,,questions/Q12.png,09ace6c5eb866bef9526de314cd8c1c4b701f283a37736a2b37886410fb0f6b2,L0789,12.3 / The Cell Cycle Control System,,,MPF的cyclin–Cdk週期性活化與G2→M控制屬The Cell Cycle Control System。,不另列一般訊號磷酸化章，因題目要求的是特定細胞週期開關。,D；MPF依賴cyclin累積而活化，促進染色體凝縮、核膜解體並進入M期。,"244,245,246","293,294,295",789,38,,CMU-115-R2-Q12
CMU-115-Q13,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,3,1,,questions/Q13.png,627bdc0613e198cddef1f0fdf87d2643fee3f021ced31945e54211707d7ebb04,L0268,5.4 / Protein Structure and Function,,,熱致變性及伴侶協助折疊屬蛋白質結構與功能，採5.4 Protein Structure and Function。,不因高溫反應而列動物體溫調節；也不把熱休克伴侶當不存在的目錄條目。,A；熱休克伴侶可抑制聚集並協助蛋白重新折疊。教材提供折疊／變性基礎，伴侶的實驗證據另列。,"78,81,82,83","127,130,131,132",268,"36,39",S05,CMU-115-R2-Q13
CMU-115-Q14,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,3,1,,questions/Q14.png,34a6160bacd2cc8e4e4fb854e108050c9df86ac2a26fe6bf260ffd2632dff4c6,L0698,11.1 / Local and Long-Distance Signaling,L0463,7.5 / Exocytosis,選項辨識外泌體作為細胞間資訊載體的功能，主列Local and Long-Distance Signaling。,7.5 Exocytosis支援題目敘述的囊泡釋放；非以蛋白質降解或能量製造分類。,B；外泌體可向受體細胞傳遞功能性RNA等貨物。Campbell未收錄exosome專項，原始研究補足其特例。,"215,216,139","264,265,188","698,463","36,38",S06,CMU-115-R2-Q14
CMU-115-Q15,FORMAL,False,B,B,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,4,1,,questions/Q15.png,26cbc899f5c72e2fd60dd8e8c9e86d74fa48163e8f839be23a07662f4af4a3a1,L3341,50.1 / Types of Sensory Receptors,,,物理形變開啟離子通道是機械感受器，對應50.1 Types of Sensory Receptors，並非聽覺器官限定的50.2。,DNA修復、溶體及免疫都是干擾選項，無次分類。,B；Piezo1與Piezo2均屬機械活化陽離子通道。觸覺／本體感覺的典型缺失證據主要為Piezo2；原題Piezo1措辭留註，不影響B與機械感受分類。,"1110,1111","1159,1160",3341,49,S07,CMU-115-R2-Q15
CMU-115-Q16,FORMAL,False,C,C,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,4,1,,questions/Q16.png,e8c160795af92075e1c8ce0e850eb553167acb7649c0f8fbe894fa2ae97bd38e,L3036,45.3 / Parathyroid Hormone and Vitamin D: Control of Blood Calcium,,,PTH與活性維生素D協同維持血鈣，存在完全對應的45.3最小條目。,不另列一般營養維生素或神經肌肉章，這些是背景與下游效應。,C；PTH與維生素D活性形式提高血鈣，包含促進腸道鈣吸收等作用。,"1011,1012","1060,1061",3036,47,,CMU-115-R2-Q16
CMU-115-Q17,FORMAL,False,A,A,未列於已取得的115年度生物釋疑PDF8–9，依同年度原答案採計,4,1,,questions/Q17.png,032ab364f82e371f5fc9c385a4af9ad964449d29e3f7bc5ed3a15bd83d21f847,L3381,50.5 / Vertebrate Skeletal Muscle,,,考骨骼肌薄肌絲的Ca2+調節機制，最小目錄Vertebrate Skeletal Muscle。,不另列訊號第二傳訊者；此處為肌鈣蛋白／原肌球蛋白的直接控制。,A；Ca2+與troponin結合使tropomyosin移位，暴露myosin結合位。,"1126,1127,1128,1129","1175,1176,1177,1178",3381,49,,CMU-115-R2-Q17
