題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-107-Q01,FORMAL,False,B,D,原B，官方更正為D,2,2,4,3,questions/Q01.png,57894527f80a2cc0249f584e56243aa722c05b5c9cca331294ffac6fb5cbcfd2,L2495,38.1 / Seed Development and Structure,"L2498,L2557",38.1 / Sporophyte Development from Seed to Mature Plant ; 39.2 / A Survey of Plant Hormones,38.1 / Seed Development and Structure：辨識玉米胚乳與胚軸等種子構造，先以發育來源判斷甲。,38.1 / Sporophyte Development from Seed to Mature Plant：胚根先出種皮須對照萌發過程；39.2 / A Survey of Plant Hormones：丙的激素拮抗敘述另查植物激素整合,原B，107釋疑更正D。甲箭頭指胚乳，由中央細胞受精後形成，非卵受精的胚。丁胚根先突破種皮。丙依官方指為hypocotyl；激素互作具組織、光照與濃度條件，不能由一般頂芽優勢硬推胚軸分泌。官方引用的2005研究是阿拉伯芥，非原圖玉米的直接實驗。原釋疑「極合」字樣照存。,"828,829,830,847,848,849,850","877,878,879,896,897,898,899",Codex /root,CMU-107-R2-Q01
CMU-107-Q02,FORMAL,False,A,A,維持原答案A,2,2,4,3,questions/Q02.png,d7a797a229218b7e5e777c326edc27d68973eddcd0ac2fdfc7d369c3a942acfc,L2394,36.4 / Mechanisms of Stomatal Opening and Closing,"L2557,L2381",39.2 / A Survey of Plant Hormones ; 36.3 / Bulk Flow Transport via the Xylem,36.4 / Mechanisms of Stomatal Opening and Closing：直接測ABA作用下保衛細胞失去鉀離子、膨壓下降而關閉氣孔。,39.2 / A Survey of Plant Hormones：ABA的作用列植物激素；36.3 / Bulk Flow Transport via the Xylem：官方引用泌溢須另比木質部根壓,採A。ABA與K+外流符合關閉機制；原題「為了加快水分蒸散」與氣孔關閉通常減少蒸散矛盾。釋疑提出根壓與guttation，但泌溢是液態水排出，不等於水蒸氣蒸散，也不能由關孔必然推出根壓上升。保留原題與官方解釋。,"793,797,798,851","842,846,847,900",Codex /root,CMU-107-R2-Q02
CMU-107-Q03,FORMAL,False,D,D,維持原答案D,2,2,4,3,questions/Q03.png,780f60dea32d3e5faec983ee77a2961badd76e9826dac2bd732fd3fc9f79cfaa,L2576,39.3 / Photoperiodism and Responses to Seasons,L2567,39.3 / Phytochrome Photoreceptors,39.3 / Photoperiodism and Responses to Seasons：選項D以長日植物開花判斷光週期反應。,39.3 / Phytochrome Photoreceptors：Pr/Pfr互轉及活性屬光敏素受器,採D，phytochrome為紅光／遠紅光受器而非auxin一類激素或葉綠素。長日植物需足夠短夜，光敏素狀態參與判別；Pfr大於Pr是題目簡化，並非任何物種、時點皆適用的單一開花閾值。釋疑維持D，原「常日照」字樣保留。,"856,857,859,860","905,906,908,909",Codex /root,CMU-107-R2-Q03
CMU-107-Q04,FORMAL,False,E,E,維持原答案E,2,2,4,3,questions/Q04.png,45a900d22bf810848e8a13a0898ee59050be6bb28fecfe78aadd7dc0f901295f,L0656,10.3 / Linear Electron Flow,L0665,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar,10.3 / Linear Electron Flow：圖甲的電子流使NADP+接受電子成為NADPH。,10.4 / The Calvin cycle uses the chemical energy of ATP and NADPH to reduce CO2 to sugar：圖乙固定CO2並消耗ATP和NADPH合成糖,採E；I水、II氧、III二氧化碳、IV糖。NADP+→NADPH本身為還原半反應，完整電子轉移必有電子供體被氧化，故原題「反應過程」可稱氧化還原。光合色素在類囊體膜而非游離基質，Calvin cycle為耗能合成。,"197,198,201,202","246,247,250,251",Codex /root,CMU-107-R2-Q04
CMU-107-Q05,FORMAL,False,C,C,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,2,2,4,,questions/Q05.png,93265287a750f447b79fb5edce98df6e0fd6c518e76be64e5753e5f7415823d1,L0564,9.2 / Glycolysis harvests chemical energy by oxidizing glucose to pyruvate,L0561,9.1 / The Stages of Cellular Respiration: A Preview,9.2 / Glycolysis harvests chemical energy by oxidizing glucose to pyruvate：選項C直接考糖解的胞質位置及少量ATP產生。,9.1 / The Stages of Cellular Respiration: A Preview：全圖I至III區分糖解、檸檬酸循環與氧化磷酸化,採C；糖解每葡萄糖淨得2 ATP及2 NADH。圖I在細胞質，II為粒線體內循環，III為呼吸鏈相關能量轉換，不是Calvin cycle。原圖甲乙箭頭及「乙＋水＋能量」照存，不以示意圖重寫完整呼吸化學計量。,"168,169,170,171","217,218,219,220",Codex /root,CMU-107-R2-Q05
CMU-107-Q06,FORMAL,False,D,D,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,2,2,4,,questions/Q06.png,093737428fea7856410cedfdbd23b4ecf96396b4ea1ae7919774120a6d236afb,L2776,42.2 / Maintaining the Heart’s Rhythmic Beat,,,42.2 / Maintaining the Heart’s Rhythmic Beat：考心臟自律節點與傳導系統的先後。,無另列最小次條目；教材928及心臟傳導圖與四構造順序吻合，最小主條目42.2節律足以涵蓋，沒有另列不同神經章。,採D：SA node→AV node→bundle of His→Purkinje fibers。此處為心肌內傳導，不是由交感神經逐次直接引發每一搏。文字TOC的Rhythms採PDF正式題名Rhythmic Beat並保留差異。,"928,929","977,978",Codex /root,CMU-107-R2-Q06
CMU-107-Q07,FORMAL,False,B,B,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,3,3,4,,questions/Q07.png,5113d197785e98ac4dd1590ab06e823d2a930bdd8b1f00e2e73f6fde47c19df9,L2789,42.3 / Blood Pressure,"L2773,L2776",42.2 / The Mammalian Heart: A Closer Look ; 42.2 / Maintaining the Heart’s Rhythmic Beat,42.3 / Blood Pressure：核心是心輸出及血管阻力共同調節血壓。,42.2 / The Mammalian Heart: A Closer Look：心輸出量等於心率乘每搏量；42.2 / Maintaining the Heart’s Rhythmic Beat：節律受自主神經和腎上腺素影響,採B（甲丙丁戊）。NO使血管舒張，乙方向相反。失血時血管收縮是代償機制，不能保證嚴重失血時仍把血壓恢復正常；心輸出量的乘積關係照教材。,"927,928,930,931","976,977,979,980",Codex /root,CMU-107-R2-Q07
CMU-107-Q08,FORMAL,False,C,C,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,3,3,4,,questions/Q08.png,829e1cf5d68feaf61c1f916c56907a4a8cc4249222029164ec86598f64d2cfc6,L2974,44.4 / From Blood Filtrate to Urine: A Closer Look,,,44.4 / From Blood Filtrate to Urine: A Closer Look：近端與遠端腎小管各段再吸收／分泌的比較。,無另列最小次條目；題幹未問特定激素，所考為濾液沿腎元處理；44.4的分段條目可直接定位，不另列激素。,採C。教材近端再吸收Na+、HCO3−、K+、葡萄糖和胺基酸，遠端以可變K+分泌及NaCl、HCO3−回收調節。此題依典型分段模型，不能延伸成所有遠端細胞、任何鉀狀態絕不再吸收K+。,"987,988,989","1036,1037,1038",Codex /root,CMU-107-R2-Q08
CMU-107-Q09,FORMAL,False,D,D,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,3,3,4,,questions/Q09.png,1daaf1e68b21c14190beb432f1cf30cda8404c823e116dae5322d49376447b09,L0843,13.3 / A Comparison of Mitosis and Meiosis,L0840,13.3 / Crossing Over and Synapsis During Prophase I,13.3 / A Comparison of Mitosis and Meiosis：以減數I、II與有絲分裂差異排除重複出現事件。,13.3 / Crossing Over and Synapsis During Prophase I：同源染色體配對只在減數I前期，配對後在中期I排列,採D。配對是prophase I，中期I同源對排列赤道板，不能說配對與排列同時發生。姊妹染色分體在減數II分離；卵形成的胞質分配亦不等量。,"259,260,261,262,263","308,309,310,311,312",Codex /root,CMU-107-R2-Q09
CMU-107-Q10,FORMAL,False,C,D,原C，官方更正為D,3,3,4,3,questions/Q10.png,ed69f193abc0a29208c7fca617f3f19351f7383f1484810ad73fe63dc2da0f88,L3114,"46.5 / Conception, Embryonic Development, and Birth",,,"46.5 / Conception, Embryonic Development, and Birth：妊娠期間hCG、雌激素與黃體素的分泌時序。",無另列最小次條目；橫軸以最後月經後月份至生產，涵蓋整個妊娠，主46.5而非46.4月經調節；原C與更正D分欄。,原C更正D，官方說明答案誤植。原圖甲為早期尖峰hCG；乙、丙依更正分別為動情素、黃體素。教材支援hCG早期維持黃體及胎盤後續分泌；此示意縱軸無單位，不能從曲線高低宣稱各激素真實濃度必有固定大小關係。,"1034,1035,1036,1037","1083,1084,1085,1086",Codex /root,CMU-107-R2-Q10
CMU-107-Q11,FORMAL,False,A,A,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,3,3,4,,questions/Q11.png,10b543f5cd53a4dddab35a0b3962a20333948da1be7c328c8a7d3dfb25a2bcdf,L2685,41.1 / Essential Nutrients,L2691,41.1 / Dietary Deficiencies,41.1 / Essential Nutrients：五種維生素的功能與缺乏表現配對。,41.1 / Dietary Deficiencies：飲食缺乏造成營養病的範圍作補充,採A：A視覺、B12造血、C膠原、D骨鈣、K凝血。B12缺乏可致巨幼紅血球性貧血；原「惡性貧血」常特指內在因子缺乏所致吸收障礙，不能把所有B12缺乏一概稱惡性貧血。教材900表列anemia較廣。,"900,901,902","949,950,951",Codex /root,CMU-107-R2-Q11
CMU-107-Q12,FORMAL,False,C,C,維持原答案C,3,3,4,3,questions/Q12.png,ff9b0fa750004956c6cfd3d03dc0c66e79e683475a1c49c695989ef32255c1e2,L2870,43.1 / Innate Immunity of Vertebrates,,,43.1 / Innate Immunity of Vertebrates：發炎時先天免疫細胞與介質的作用。,無另列最小次條目；採計是C且未被更正，科學爭議在basophil顆粒成分；整題仍明確屬43.1脊椎先天免疫，文獻差異另記而非改答案或隱藏題。,採C，釋疑只針對嗜酸性球參與吞噬不等於分化為吞噬細胞。教材支持發炎血管擴張、肥大細胞釋放histamine，非止痛消炎。對C的heparin不能假裝教材已直接支持：1987人類basophil實驗未檢出heparin而見chondroitin sulfate A；此來源差異照存，不能用採計答案抹平。,"954,955,956","1003,1004,1005",Codex /root,CMU-107-R2-Q12
CMU-107-Q13,FORMAL,False,B,B,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,4,4,4,,questions/Q13.png,a9ddb37b094fa2537e4b993525146da91f5f2da3be36363db9049f5374a68ece,L2717,41.3 / Absorption in the Small Intestine,,,41.3 / Absorption in the Small Intestine：問脂質消化產物進入腸上皮後的重新合成與輸出。,無另列最小次條目；問「上皮細胞內」，教材910吸收與重組最直接，41.3吸收條目為主，無需另造脂肪吸收目錄項。,採B：單酸甘油酯進入上皮後重組三酸甘油酯，再包裝乳糜微粒。micelle主要是腸腔內遞送吸收產物的集合體，不把完整微脂粒算入上皮內；脂肪油滴、微脂粒、乳糜微粒保留不同位置與尺度。,"909,910,911","958,959,960",Codex /root,CMU-107-R2-Q13
CMU-107-Q14,FORMAL,False,D,D,維持原答案D,4,4,4,4,questions/Q14.png,da55dec265fbd324bb3cc4b19756fe3445453e406b7aac9542023aeb75ed3bef,L2883,43.2 / Antigen Recognition by B Cells and Antibodies,"L2886,L2889",43.2 / Antigen Recognition by T Cells ; 43.2 / B Cell and T Cell Development,43.2 / Antigen Recognition by B Cells and Antibodies：D把B細胞與T細胞的表面免疫球蛋白特性倒置。,43.2 / Antigen Recognition by T Cells：TCR與BCR的辨識形式須比較；43.2 / B Cell and T Cell Development：骨髓／胸腺成熟位置屬淋巴球發育,採D。B細胞可有膜型IgM/IgD，T細胞用TCR而非表面抗體。官方維持E可遷移感染部位，不能由B細胞能分化漿細胞便推「所有B細胞絕不遷移」；其引用memory B cell皮膚文獻是官方論證，本輪未另稱重做該實驗。,"958,959,960,961","1007,1008,1009,1010",Codex /root,CMU-107-R2-Q14
CMU-107-Q15,FORMAL,False,B,B,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,4,4,4,,questions/Q15.png,f0d9d79a2f224a98ae02ece64c8d526345729fd40a82e8b6633a2f2d494d0fa9,L2818,42.5 / Respiratory Surfaces,"L2821,L2824,L2837",42.5 / Gills in Aquatic Animals ; 42.5 / Tracheal Systems in Insects ; 42.6 / How a Bird Breathes,42.5 / Respiratory Surfaces：比較薄濕呼吸表面與不同動物的交換方式。,42.5 / Gills in Aquatic Animals：魚鰓的表面交換；42.5 / Tracheal Systems in Insects：昆蟲氣管直達組織；42.6 / How a Bird Breathes：鳥氣囊通氣與肺內交換須分清,採B（乙丙丁）。鳥氣囊推動氣流，交換在肺旁支氣管，不在前氣囊；原anterior aveoli sac拼字照存。魚鰓原「鰓瓣上的鰓絲」層級措辭與教材鰓絲及鰓小片圖分開，不更動原文。,"940,941,942,943,944,945","989,990,991,992,993,994",Codex /root,CMU-107-R2-Q15
CMU-107-Q16,FORMAL,False,D,D,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,4,4,4,,questions/Q16.png,5809fb866357681fbf4fb5ddcf0bf6d7e108c7bb0bc1236ba4c8711e3b1f1018,L2853,42.7 / Respiratory Pigments,,,42.7 / Respiratory Pigments：血紅素對氧親和力隨CO2及pH改變的Bohr shift。,無另列最小次條目；教材948明確以低pH定義Bohr shift，故主42.7呼吸色素，保留特定機制與泛稱右移的差別。,"採D。CO2形成碳酸使pH下降，降低Hb氧親和力。溫度及2,3-DPG亦能影響氧解離曲線，但不因此把所有右移都稱為嚴格定義的Bohr效應。","947,948,949","996,997,998",Codex /root,CMU-107-R2-Q16
CMU-107-Q17,FORMAL,False,D,D,未列於已取得107生物釋疑PDF3–7；依同年度原答案PDF4採計,4,4,4,,questions/Q17.png,dd58d16b943af05770a211b35dd951c6af1d7495eaf17a0c1ac6feed380cd3e9,L3225,48.4 / Termination of Neurotransmitter Signaling,L3231,48.4 / Neurotransmitters,48.4 / Termination of Neurotransmitter Signaling：Prozac抑制再回收，延長已釋放血清素的訊號。,48.4 / Neurotransmitters：藥物與生物胺serotonin的對應另有明文,採D。教材1081直接記Prozac阻止serotonin reuptake；並非促進多巴胺釋放或直接促進serotonin合成。本題是作用機制分類，不是個人用藥建議。,"1079,1080,1081,1082","1128,1129,1130,1131",Codex /root,CMU-107-R2-Q17
