題號,分類狀態,待審,原答案,依已取得來源採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-107-Q01,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q01.png,ce4e5e00e416e6ae8c37cc3f6df2eb5b40bbcab2bc58b018d94de46c19cb92e8,L2140,33.5 / Echinoderms,L2120,33.3 / Molluscs,33.5 / Echinoderms：以海星翻胃攝食解釋雙殼貝殼完整，直接對應棘皮動物特徵。,33.3 / Molluscs：雙殼類殼與攝食方式是被捕食者判讀依據。,原表A。海星可將胃伸入微開的貝殼消化軟體；殼完整不能推出未被捕食。題幹限定腹足類為草食者，不把所有腹足類都說成草食。,"699,700,701,713,714","748,749,750,762,763",Codex /root,TCU-107-R2-Q01
TCU-107-Q02,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q02.png,7a5725c6c912b7c438bf396d0f4d999ff6010b9108913615ee1b5c9931dd4f1f,L2183,34.3 / Derived Characters of Gnathostomes,"L2176,L2192,L2212,L2218,L2225",34.2 / Early Vertebrate Evolution ; 34.3 / Ray-Finned Fishes and Lobe-Fins ; 34.5 / Derived Characters of Amniotes ; 34.5 / Reptiles ; 34.6 / Derived Characters of Mammals,34.3 / Derived Characters of Gnathostomes：有頜類的衍徵及分支位置是五特徵排序的骨架。,34.2 / Early Vertebrate Evolution：成對鰭已出現於部分無頜祖先；34.3 / Ray-Finned Fishes and Lobe-Fins：硬骨魚鰾演化在有頜之後；34.5 / Derived Characters of Amniotes：羊膜卵界定羊膜動物；34.5 / Reptiles：爬行類分支提供羊膜特徵位置；34.6 / Derived Characters of Mammals：哺乳類正文741明列四腔心,原表A：成對鰭→上下顎→魚鰾→羊膜卵→四腔心。教材728指出鰾由肺演化而來，不能反推肺由鰾產生；這是題列特徵順序，不是所有現生類群排成直線，四腔心可在不同支系演化。,"724,725,726,728,729,734,735,736,741","773,774,775,777,778,783,784,785,790",Codex /root,TCU-107-R2-Q02
TCU-107-Q03,FORMAL,False,C,C,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q03.png,f9ca3a5b2fc221cc021689f11144c49deb167077fc4001f2311e245987dede95,L2743,41.5 / Regulation of Energy Storage,,,41.5 / Regulation of Energy Storage：飢餓時糖原與脂肪動員屬能量儲存調節。,無另列最小次目；原圖C完整，教材915用and連接後兩者，故採C並明列嚴格順序的簡化，不改成脂肪先耗盡。,原表C。教材915先列肝糖原，再動用肌糖原與脂肪；它未把肌糖原與脂肪寫成絕不重疊的兩階段。原題嚴格順序是簡化，肌糖原主要供肌肉自身使用，不等於直接釋出血糖。,"915,916,917","964,965,966",Codex /root,TCU-107-R2-Q03
TCU-107-Q04,FORMAL,False,A,A,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,2,2,1,,questions/Q04.png,7b2fbab5035d51ba85e7d63ee6ae6676b09e2f459ede651628045f3a1a07c9b2,L2743,41.5 / Regulation of Energy Storage,L2746,41.5 / Regulation of Appetite and Consumption,41.5 / Regulation of Energy Storage：BMI圖與能量儲存、肥胖風險直接相關。,41.5 / Regulation of Appetite and Consumption：食慾荷爾蒙是題目所涉及儲能恆定的相關調節,原表A。完整圖中美國Pima男女BMI皆較墨西哥兩組高，支持生活環境與肥胖、糖尿病風險的關聯；不是環境唯一因果證明，BMI正常仍可能罹病，橫斷圖不能推出逐年上升。圖的男女圖例及誤差棒均保留。,"915,916,917,918","964,965,966,967",Codex /root,TCU-107-R2-Q04
TCU-107-Q05,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q05.png,ea2c9cbcb1187dbf43442df9ac30fdf0db1dd9d0b51a38b1ff18a8cb8c3350ce,L2104,33.2 / Anthozoans,L1847,28.6 / Symbiotic Protists,33.2 / Anthozoans：珊瑚屬刺絲胞動物，需辨其共生與顏色。,28.6 / Symbiotic Protists：教材614明列珊瑚與光合渦鞭毛藻互利共生,原表B。共生藻的光合色素是本題預期來源；不能把珊瑚所有顏色都歸於藻而排除宿主色素，也不能由顏色單獨推定共生者種類。,"614,615,693","663,664,742",Codex /root,TCU-107-R2-Q05
TCU-107-Q06,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q06.png,48c541423d5a03de9f3dde003fe22f11ff99f48663fe554092d0229e7d7bec66,L1847,28.6 / Symbiotic Protists,L2733,41.4 / Mutualistic Adaptations,28.6 / Symbiotic Protists：教材614直接以白蟻腸道共生原生生物分解木材為例。,41.4 / Mutualistic Adaptations：消化互利適應正文912–914提供一般機制比較，該節以脊椎動物為主，未把白蟻誤歸脊椎動物,原表D。共生微生物協助分解纖維素；但題幹「動物不能產生纖維素分解酵素」不是通則。1998原始研究已辨白蟻自身RsEG基因；2024研究區分細菌、古菌及部分白蟻的原生生物。不能泛稱全部白蟻只靠原生生物。,"614,615,912,913,914","663,664,961,962,963",Codex /root,TCU-107-R2-Q06
TCU-107-Q07,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q07.png,0183938e5bf7491ae7ff7318e6f087908722f7f60ade66f474090effb40f6fc6,L2824,42.5 / Tracheal Systems in Insects,L2944,44.1 / Osmoregulatory Challenges and Mechanisms,42.5 / Tracheal Systems in Insects：氣門與氣管交換造成CO2間歇釋放；目錄最小相關機制條目以昆蟲命名，題中蜈蚣並非昆蟲。,44.1 / Osmoregulatory Challenges and Mechanisms：陸生動物減少水分流失連結呼吸與滲透調節,原表D。左圖Cormocephalus morsitans為間歇交換，右Scutigerina weberi較連續；左橫軸hours、右minutes，不直接比尖峰高度推總代謝。減少氣門開啟可降低水分流失，較乾棲地是可檢驗假說，單圖不能證實實際棲地或排除其他交換調節因素。,"941,942,978,979,980","990,991,1027,1028,1029",Codex /root,TCU-107-R2-Q07
TCU-107-Q08,FORMAL,False,B,B,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,3,3,1,,questions/Q08.png,3ffa3b2a4b59b02ae54bf9fae28215e3ce7c4d5f4df24067882aaffbb9387713,L3004,45.1 / Cellular Hormone Response Pathways,L3048,45.3 / Evolution of Hormone Function,45.1 / Cellular Hormone Response Pathways：同一激素在不同標的細胞引發不同反應路徑。,45.3 / Evolution of Hormone Function：甲狀腺激素參與變態是激素功能演化的具體例子,原表B。不同組織的受體、調控蛋白和基因表現背景使甲狀腺激素造成蝌蚪尾退化或四肢生長；不是激素本身每次換成另一種。脂溶性甲狀腺激素可經細胞內受體作用，不能強制解讀為只經膜受體。,"1001,1002,1003,1015,1016","1050,1051,1052,1064,1065",Codex /root,TCU-107-R2-Q08
TCU-107-Q09,FORMAL,False,D,D,未列已取得同年公告的7筆生物釋疑；依原表記錄，不宣稱沒有其他公告,4,4,1,,questions/Q09.png,b6197821c1e577f3c4db3858d23d9572acd82ff8939c08f9896be40b36173e6a,L3091,46.3 / Gametogenesis,,,46.3 / Gametogenesis：比較精子與卵形成的細胞分裂和功能配子數。,無另列最小次目；重看III為「均導致生殖細胞產生配子」，修正首稿非逐字引句；D不變。功能配子數與發生時序分別核對。,原表D，僅III「均導致生殖細胞產生配子」共同。卵生成的不對稱胞質分裂只產一大卵及極體；題幹泛稱脊椎動物，不能把人類胎兒卵母細胞開始減數分裂的時序套用到所有物種。,"1027,1028,1029,1030","1076,1077,1078,1079",Codex /root,TCU-107-R2-Q09
TCU-107-Q10,FORMAL,False,B,B,維持原答案B,4,4,1,2,questions/Q10.png,c57a70ae9804e44f1b036f305f13f61198fbe7753176620f65b93ed6e1c3fd5c,L3169,47.3 / Cell Fate Determination and Pattern Formation by Inductive Signals,L3144,47.2 / Gastrulation,47.3 / Cell Fate Determination and Pattern Formation by Inductive Signals：組織者誘導鄰近細胞形成體軸，最小目錄為誘導訊號下細胞決定與模式形成。,47.2 / Gastrulation：原腸胚形成提供被影響的形態發生程序,原表B，已得釋疑亦維持B。教材1062的移植實驗支持誘導體軸及原腸運動，不直接證明任何動物、任何切除範圍都使全部原腸形成停止。goosecoid研究的誘導及擾動結果也具物種、時期及處理範圍，保留原題概括過廣限制。,"1049,1050,1051,1052,1061,1062","1098,1099,1100,1101,1110,1111",Codex /root,TCU-107-R2-Q10
