題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
CMU-111-Q01,FORMAL,False,A,A,維持原答案A,2,2,4,8,questions/Q01.png,3a29da9fd8976cfc65e4b617dfa8464feff00dd9c36aa3cb6d50c7cae358fa31,L1774,27.6 / Pathogenic Bacteria,L0110,2.2 / Isotopes,題目判斷致病細菌幽門螺旋桿菌感染的診斷，27.6 Pathogenic Bacteria 是病原與疾病的直接目錄條目。,2.2 Isotopes 補充碳13示蹤原理；不把臨床感染診斷整題改歸原子結構。,官方A並於釋疑PDF8維持。尿素酶分解標記尿素後可檢出呼出標記CO2；碳13是穩定同位素，不是放射性碳14。原題只問常用依據，B、D胃鏡切片檢查亦可診斷，C抗體可反映既往感染而不必代表現症；釋疑以非侵入、較快選A，但題幹未明列這些限定。依官方採計，科學上不宣稱其他三法全無用途。,"588,584,31","637,633,80",Codex /root,CMU-111-R2-Q01
CMU-111-Q02,FORMAL,False,B,B,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,2,2,4,,questions/Q02.png,a7bafff05463b37ca25c65da6c2db3a34fd8f96b2ee11d23c549feec39e529c8,L2840,42.6 / How a Mammal Breathes,,,42.6 How a Mammal Breathes 直接解釋橫膈收縮、胸腔容積與負壓呼吸。,四選項皆屬通氣機制，沒有需另列的最小次條目。,官方B。正常安靜吸氣橫膈收縮下降；安靜呼氣放鬆回升，主要靠彈性回縮。C以安靜呼吸為背景；用力呼氣會募集肌群。A「肺本身缺乏肌肉」是指肺不能靠自身骨骼肌主動通氣的簡化，不能推成呼吸道完全沒有平滑肌。,"945,946","994,995",Codex /root,CMU-111-R2-Q02
CMU-111-Q03,FORMAL,False,C,C,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,2,2,4,,questions/Q03.png,ff936cd1891ca60486514c13f2725c6de3b7fe1295df179766aa71c2af69c868,L1709,27.1 / Cell-Surface Structures,L1751,27.4 / Bacteria,27.1 Cell-Surface Structures 的正文575直接討論抵抗惡劣環境的內生孢子，優先於一般繁殖條目。,27.4 Bacteria 比較選項所列細菌類群；同章次條目保留，章統計去重。,官方C。Pseudomonas aeruginosa 不形成內生孢子；Bacillus anthracis、Clostridium tetanus 與 C. perfringens 是典型產孢菌。本題的spore是耐受構造，不是藉孢子增加細菌數量的生殖。Campbell供構造框架，Pseudomonas具名性狀另由加拿大公衛署資料核對。,"574,575,584","623,624,633",Codex /root,CMU-111-R2-Q03
CMU-111-Q04,FORMAL,False,C,C,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,2,2,4,,questions/Q04.png,db2dce03fde4f604b4ba759bc1e269786570404ac5a2685249f105be77a1ae6d,L2896,43.3 / Helper T Cells: Activating Adaptive Immunity,L2886,43.2 / Antigen Recognition by T Cells,43.3 Helper T Cells: Activating Adaptive Immunity 明列抗原呈現細胞經MHC II活化輔助T細胞，含B細胞。,43.2 Antigen Recognition by T Cells 補充MHC與T受體的配對，不混同B受體直接結合抗原。,官方C。正常B細胞屬專業抗原呈現細胞，可高量表現MHC II；神經、肝與成熟紅血球不符合題設正常高量表現者。此處是B細胞呈現抗原，不是B細胞受體只能辨識MHC結合抗原。,"959,963,964","1008,1012,1013",Codex /root,CMU-111-R2-Q04
CMU-111-Q05,FORMAL,False,B,B,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,2,2,4,,questions/Q05.png,043586140da2c3a9a4ec81eec4df2b2809076779e85d5452741463f1b1dac055,L2899,43.3 / B Cells and Antibodies: A Response to Extracellular Pathogens,L2889,43.2 / B Cell and T Cell Development,43.3 B Cells and Antibodies: A Response to Extracellular Pathogens 說明抗體類別及重鏈恆定區，是isotype switching結果的直接條目。,43.2 B Cell and T Cell Development 比較兩類淋巴球均有受體基因片段重組，排除把所有重組當B專有。,官方B。類型轉換改變免疫球蛋白重鏈恆定區及效應功能，保留原抗原特異性；B、T均有特定受體與發育時V(D)J重組。T細胞辨識胜肽–MHC，B受體通常直接結合抗原。Campbell966列抗體類別；AID與類型轉換機制由TFH研究補足，不能將IgM/IgD共表現一律當成類型轉換。,"964,965,966,960,961","1013,1014,1015,1009,1010",Codex /root,CMU-111-R2-Q05
CMU-111-Q06,FORMAL,False,D,D,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,2,2,4,,questions/Q06.png,e0271bcd61de0d7a7d7ec389875f47c3d853512f30986115e10eadb151f4db9f,L1196,19.2 / General Features of Viral Replicative Cycles,L1202,19.2 / Replicative Cycles of Animal Viruses,19.2 General Features of Viral Replicative Cycles 直接涵蓋吸附、進入、脫殼、合成、組裝與釋放的總流程。,19.2 Replicative Cycles of Animal Viruses 補充圖示脫殼與出芽；同章另留具體病毒生活史條目。,官方D，順序V→II→VI→III→IV→I。這是可脫殼病毒感染的基本教學模型；病毒類型可在進入、脫殼及釋放方式上不同，不聲稱所有病毒都以完全相同細節循環。,"401,404,405","450,453,454",Codex /root,CMU-111-R2-Q06
CMU-111-Q07,FORMAL,False,C,C,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,2,2,4,,questions/Q07.png,b327a3644f9bcd32fc5e9eb6f678c60389b46465641e0d125be14667caa04688,L2743,41.5 / Regulation of Energy Storage,,,41.5 Regulation of Energy Storage 的印刷916及圖41.23直接呈現胰島素、昇糖素與血糖回饋，是真實最小目錄。,題目焦點是能量儲存與血糖，該條目已完整涵蓋；不僅因荷爾蒙名稱重複列45章。,官方C。低血糖刺激胰島α細胞分泌昇糖素；β細胞分泌胰島素。胰島素促進葡萄糖利用與儲存，昇糖素促進肝臟釋糖；並非所有組織葡萄糖攝取都依賴胰島素。,"915,916,917","964,965,966",Codex /root,CMU-111-R2-Q07
CMU-111-Q08,FORMAL,False,B,B,維持原答案B,3,3,4,9,questions/Q08.png,f1f654654b51a3ae6f4e72d9cd1e60cd582dfc19f467a0c7dd4a37490ba4d4c5,L1196,19.2 / General Features of Viral Replicative Cycles,,,19.2 General Features of Viral Replicative Cycles 的宿主範圍及細胞受體條件直接對應病毒細胞嗜性。,四配對皆為病毒宿主細胞選擇；不把錯選項血小板母細胞另列造血章。,官方B，釋疑PDF9維持。B19主要支持生產性感染的是紅系前驅細胞；狂犬神經、EBV B細胞、HIV以CD4 T細胞為主要教學配對，但不等於各病毒只感染一種細胞。MB-02研究在Epo誘導5–10日的紅系分化狀態支持B19複製，不能因細胞株原始名稱推成血小板母細胞嗜性；釋疑「三天以上」較原研究寬鬆。,401,450,Codex /root,CMU-111-R2-Q08
CMU-111-Q09,FORMAL,False,A,A,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,3,3,4,,questions/Q09.png,2e846fd422e9fba62e6792d8ffba8702819f91a1cfe85a5d3827b579799a7025,L2908,43.3 / Immunization,L2911,43.3 / Active and Passive Immunity,43.3 Immunization 直接說明接種抗原產生主動免疫與抗體，是疫苗後血清判讀的核心。,43.3 Active and Passive Immunity 區分接種者自己產生抗體與外來抗體，並支援半年後的免疫背景。,官方A。單純疫苗誘發anti-HBs，不產生anti-HBc；CDC標準疫苗免疫組合是HBsAg陰、anti-HBc陰、anti-HBs陽。原題A、B實際印成HBcAg，不是HBsAg，保留原文與差異，不偷偷改字。題設三劑為既定情境，不把題文移工接種規定當作已查核的現行法規。,"968,969","1017,1018",Codex /root,CMU-111-R2-Q09
CMU-111-Q10,FORMAL,False,A,A,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,3,3,4,,questions/Q10.png,377202bb5ab1a370f1f44ea2895fb6ea6999c223a9e28fe3c2068918b90e99ba,L1189,19.1 / Structure of Viruses,L1212,19.3 / Viral Diseases in Animals,19.1 Structure of Viruses 區分腺病毒無套膜與其餘選項套膜結構，提供酒精敏感度比較的框架。,19.3 Viral Diseases in Animals 補充病毒感染控制背景，具體消毒效力另列官方來源。,官方A。無套膜腺病毒相對較難以一般酒精乾洗手控制；實際效力取決於酒精種類、濃度、接觸時間與病毒型別。CDC指出70%異丙醇對腺病毒無效，另載適當條件下60–80%乙醇可使腺病毒失活，故不把原題未指定的「70%酒精」擴張成所有乙醇製劑必然無效，也不以表面消毒試驗等同實際洗手效果。,"399,400,408,409","448,449,457,458",Codex /root,CMU-111-R2-Q10
CMU-111-Q11,FORMAL,False,C,C,未列於已取得111生物釋疑PDF8下半部–14；依同年度原答案PDF4採計,3,3,4,,questions/Q11.png,8d5c9f57aa2efae67cfe2c1d96a356ef087db81ced95e75d8d44ff514aad549e,L3271,49.3 / Information Processing,,,49.3 Information Processing 及圖49.16在印刷1097定位顳葉聽覺皮質，直接回答腦葉功能。,題目沒有耳部受器或聲波轉導過程，不另掛50章感覺接收。,官方C。聽覺皮質主要位於顳葉；枕葉主要視覺、頂葉主要體感、額葉主要運動與高階功能。已實看教材圖49.16標記，不僅由關鍵字推論。,"1096,1097,1098","1145,1146,1147",Codex /root,CMU-111-R2-Q11
