題號,分類狀態,待審,原答案,採計答案或來源衝突,最終採計,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑轉存PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-108-Q01,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,2,2,1,,questions/Q01.png,fad3d4742c4a179e6f435519414b5c45956fa88cdcfe986c7dcbe6a533d17aba,L0981,15.5 / Genomic Imprinting,L1123,18.2 / Regulation of Chromatin Structure,15.5 / Genomic Imprinting：親源特異印記的建立、維持與生殖細胞重設正是本題核心。,18.2 / Regulation of Chromatin Structure：DNA甲基化／染色質調控解釋印記的分子基礎。,原表C。印記是可重設的表觀遺傳標記，在生殖系依新一代親本性別重建，體細胞分裂通常維持。可遺傳不等於不可逆，也不是只有生殖細胞才有印記表現。,"310,311,371,372","359,360,420,421",Codex /root,TCU-108-R2-Q01
TCU-108-Q02,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,2,2,1,,questions/Q02.png,9e514c0bbcc6b65baae3407bb35f35a956a342e7038e85f109d030a82b1c23af,L0892,14.3 / Extending Mendelian Genetics for a Single Gene,,,14.3 / Extending Mendelian Genetics for a Single Gene：一個基因影響多種表徵是一因多效，屬單基因孟德爾延伸。,無另列最小次條目；A–C描述一基因多效，D的同方向過度概括；最小單基因延伸條目確定。,原表D。一個基因可透過不同生化或發育路徑影響多種性狀，各效應不必都同向有利或有害。一因多效與多基因控制同一性狀不能混同。,"280,281","329,330",Codex /root,TCU-108-R2-Q02
TCU-108-Q03,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,2,2,1,,questions/Q03.png,46b9da25a044a82abfe6d376a62174f222cd19f076e774b37064f560d8a469e9,L1022,16.3 / A chromosome consists of a DNA molecule packed together with proteins,,,16.3 / A chromosome consists of a DNA molecule packed together with proteins：H1與染色質高階包裝直接屬16.3，真實目錄沒有更細子目。,無另列最小次條目；H1和B的30nm命題脈絡明确，新版p330–331與1994研究的範圍差異保留；16.3目錄已無更小子目。,原表B。H1是傳統30nm纖維模型的linker histone。本地12e p330圖16.23改以10nm纖維為基本構成，明說30nm為較舊模型且可能只在特定細胞或時段存在；p331示condensin迴圈。未將30nm當成所有活細胞的一致結構。,"330,331,332","379,380,381",Codex /root,TCU-108-R2-Q03
TCU-108-Q04,FORMAL,False,A,A,A,維持原答案A,2,2,1,6,questions/Q04.png,f247b7de4019ae959e8dea68184da5d8b2835d89a7137b09ab761d518a959aa1,L1062,17.3 / Split Genes and RNA Splicing,L1059,17.3 / Alteration of mRNA Ends,17.3 / Split Genes and RNA Splicing：內含子移除與外顯子保留的區段計數決定答案。,17.3 / Alteration of mRNA Ends：5′端帽及poly(A)尾的添加用於排除端部處理選項。,原表A，同年釋疑Q4維持A。在一條連續、標準線性前驅RNA的同一剪接路徑上，內含子分隔外顯子，外顯子數=內含子數+1；不可混用不同異構轉錄本的合計。帽與poly(A)尾是轉錄後添加；stop codon不保證位於最後外顯子，3′UTR也可能有剪接。,"345,346,347","394,395,396",Codex /root,TCU-108-R2-Q04
TCU-108-Q05,FORMAL,False,A,A,A,維持原答案A,2,2,1,7,questions/Q05.png,df2facc64c8d5ee239fa29253ab34d6fd7b3ddddbbc62df3cded54923b282860,L3114,"46.5 / Conception, Embryonic Development, and Birth",,,"46.5 / Conception, Embryonic Development, and Birth：分娩正回饋及妊娠內分泌屬46.5的生產段。",無另列最小次條目；不能。原圖、釋疑與p1036已比對，Endotext不同來源說明另存；官方A不變，分類仍分娩控制。,原表A，同年釋疑Q5維持A並稱雌二醇來自卵巢；本地p1036圖46.18也畫卵巢來源。然而人類第一孕期後胎盤為循環雌二醇主要來源，原題把胎盤作錯誤理由與Endotext不一致。雌激素主要增加催產素受體表達及敏感性，不是催產素受體的直接配體。官方A與科學來源差異並存，不自行改採計。,"1034,1035,1036,1037,1038,1039","1083,1084,1085,1086,1087,1088",Codex /root,TCU-108-R2-Q05
TCU-108-Q06,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,2,2,1,,questions/Q06.png,5d6aa0eb3388724035e65af1459ed1e6307f8e8382ec0e9b2bed704947a43dfd,L2746,41.5 / Regulation of Appetite and Consumption,,,41.5 / Regulation of Appetite and Consumption：中樞激素調控食慾下降是惡病質題目的功能分類主軸。,無另列最小次條目；题問腦部受體與惡病質，研究MC4R食慾代謝作用支援41.5；不因MSH字面轉到皮膚。,原表A。MSH／melanocortin作用於下視丘MC4R可抑食並提高代謝；腫瘤或LPS小鼠實驗支持阻斷此途徑緩解體重與瘦體組織流失。本地p917提供食慾迴路背景，未直接講MSH與cachexia；不能把複雜惡病質歸為所有病人唯一病因。,"917,918,919","966,967,968",Codex /root,TCU-108-R2-Q06
TCU-108-Q07,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,2,2,1,,questions/Q07.png,24419762b7f6a3af62cee15007af033e3816015ec2dff576cf6695b121497d16,L2870,43.1 / Innate Immunity of Vertebrates,,,43.1 / Innate Immunity of Vertebrates：補體調理與膜攻擊屬脊椎動物先天免疫體液成分。,無另列最小次條目；原題為辨認C3b，轉化酶解離與factor I蛋白水解不可混為一談；分類確定先天免疫補體。,原表B，即C3b。C3b可調理並參與C5轉化酶，後續C5b啟動膜攻擊複合體；C3a／C5a有發炎作用。原題稱DAF使C3b裂解不精確：DAF促轉化酶解離，factor I才在CR1／MCP等輔因子協助下切C3b。答案辨識與此機制差異分記。,"954,955,956,957,966,967","1003,1004,1005,1006,1015,1016",Codex /root,TCU-108-R2-Q07
TCU-108-Q08,FORMAL,False,A,A,A,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q08.png,7714b9ec1d201993088c13b1470840fc0d9831245b87fef283efac486958c0e1,L3296,49.4 / Long-Term Potentiation,L3293,49.4 / Memory and Learning,49.4 / Long-Term Potentiation：NMDA／AMPA受體及突觸增強的機制直接對應長期增益。,49.4 / Memory and Learning：記憶形成提供LTP在學習中的功能脈絡。,原表A，乙與丙。NMDA受體在去除Mg2+阻塞後可通Ca2+；AMPA主要介導快速Na+流入，LTP可增加AMPA效應。不能把兩類受體的離子通透或電壓條件互換。,"1100,1101,1102","1149,1150,1151",Codex /root,TCU-108-R2-Q08
TCU-108-Q09,FORMAL,False,B,B,B,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q09.png,abb4402e0d350b2fbab51703ee990ccb255098f16e7aa872ef5b14cc67ada023,L3144,47.2 / Gastrulation,L3150,47.2 / Organogenesis,47.2 / Gastrulation：器官的外中內胚層來源由原腸形成建立。,47.2 / Organogenesis：胚層後續分化成神經等器官提供器官生成的對照。,原表B。神經系統源於外胚層。皮膚須區分表皮外胚層與大部分真皮中胚層；胸腺的上皮與入居淋巴細胞來源不同，不能用整個器官一概抹去多來源性。,"1049,1050,1051,1054,1055","1098,1099,1100,1103,1104",Codex /root,TCU-108-R2-Q09
TCU-108-Q10,FORMAL,False,D,D,D,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q10.png,4f35890e7529a97374b1e5f64e95d72c7587dcd50023e5715ef25705d138a147,L2924,"43.4 / Exaggerated, Self-Directed, and Diminished Immune Responses",,,"43.4 / Exaggerated, Self-Directed, and Diminished Immune Responses：急性全身過敏是免疫過度反應的明確子例。",無另列最小次條目；可以，但原C指定抗組織胺過敏而題幹沒有藥物線索；D直接為全身過敏性休克，免疫過度反應最貼近。,原表D。IgE介導肥大細胞釋放組織胺等可造成全身血管擴張、通透性增加及低血壓，符合過敏性休克。藥物過敏也可引發此反應，但選項D直接命名題示系統性症候，不據題目作個人診斷。,"970,971","1019,1020",Codex /root,TCU-108-R2-Q10
TCU-108-Q11,FORMAL,False,C,C,C,未列本輪取得同年公告的生物Q4、5、16；依原表，不宣稱不存在其他未取得公告,3,3,1,,questions/Q11.png,a209a7c3b75592cdc103ffdff849756f76df3d5f10ec075cd4a0a9cd30be6ff5,L1445,23.2 / The Hardy-Weinberg Equation,,,23.2 / The Hardy-Weinberg Equation：由基因型計等位頻率再作隨機交配預測是HW方程核心。,無另列最小次條目；重算p=.6得到72／96／32，並指出封閉不足HW；主目方程不靠答案字母決定。,原表C。p=(2×160+160)/(2×400)=0.6，q=0.4；下一代200個體的期望AA=72、Aa=96、aa=32。僅稱封閉族群不足以保證隨機交配及其他HW條件，答案依題目的理想模型解讀；原「二對偶基因」用語保留，不改成另一道題。,"489,490,491,492,493","538,539,540,541,542",Codex /root,TCU-108-R2-Q11
