題號,分類狀態,待審,原答案,採計答案,釋疑,原卷PDF頁,原卷印刷頁,答案PDF頁,釋疑PDF頁,原圖,原圖SHA256,主條目ID,主分類,次條目ID,次分類,主分類理由,次分類理由,科學說明,課本印刷頁,課本PDF頁,覆核者,覆核紀錄
TCU-115-Q01,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q01.png,27c0f9d163eab1889fba375f78a15edcdba3f7bedf8785007f12cf009caf954b,L0529,8.4 / Effects of Local Conditions on Enzyme Activity,L2998,45.1 / Intercellular Information Flow,8.4 / Effects of Local Conditions on Enzyme Activity：判別藥物抑制酵素與其生理後果，環氧酶抑制是正確選項的機制。,45.1 / Intercellular Information Flow：前列腺素的局部調節連結止痛與發炎作用。,官方B。阿斯匹靈抑制COX及前列腺素生成；FDA藥理段補充血小板COX／血栓素A2機制。A把微管誤寫微絲；C將核酸螢光染色概括到蛋白質；D即使按抑制PDE使cAMP升高的模型，也不能推出脂肪代謝減慢。本題藥理敘述不等於個人用藥建議。,"157,158,159,1000,1001","206,207,208,1049,1050",Codex /root,TCU-115-R2-Q01
TCU-115-Q02,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q02.png,5c956d70f41c6f99d6c22383840743552b2364075c05a64e605f509c6d79f144,L1244,20.1 / Expressing Cloned Eukaryotic Genes,L1062,17.3 / Split Genes and RNA Splicing,20.1 / Expressing Cloned Eukaryotic Genes：重組人類基因在細菌表現的障礙，直接對應真核克隆基因表現條目。,17.3 / Split Genes and RNA Splicing：內含子去除及成熟mRNA提供cDNA的原理。,官方B。人類基因組序列可能含內含子，細菌缺乏相應真核剪接機制；以成熟mRNA製作cDNA可避開此障礙。黏性端關乎組裝，轉形只是送入DNA；蛋白修飾與啟動子也可能影響產物，但在本組選項中B最直接。,"345,346,422,423","394,395,471,472",Codex /root,TCU-115-R2-Q02
TCU-115-Q03,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q03.png,d45703847c67f80e1b02d09da8e24e0ae807965c12fa78995a730faf68a580f1,L2685,41.1 / Essential Nutrients,,,41.1 / Essential Nutrients：維生素的必需營養與功能配對，可由Table41.1直接核對。,無另列最小次條目；實看Table41.1，K與凝血相連，B12／葉酸與紅血球相關；主41.1保留必需營養的真實目錄層級。A廣義抗氧化不等於表格已逐一證實所有A形式，差異另存而不替換官方B。,官方B。維生素K主要支援凝血蛋白合成；B12與葉酸才涉及紅血球生成及核苷酸代謝。教材表列A參與視覺及上皮維持，未將所有維生素A形式統稱抗氧化物；原題A的廣義抗氧化表述與表格差異保留。D的鈣吸收、骨生長配對成立。,"899,900,901","948,949,950",Codex /root,TCU-115-R2-Q03
TCU-115-Q04,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,2,2,1,,questions/Q04.png,63e48749f53ffb9fe303799c93cbebc73eff9fd3e58af86820ab5de806379689,L1010,16.2 / DNA Replication: A Closer Look,,,16.2 / DNA Replication: A Closer Look：兩股反向平行和聚合酶延伸方向共同導出落後股不連續合成。,無另列最小次條目；3′端延伸與反平行直接導出落後股，16.2最貼切。A顛倒延伸方向；G1與U干擾項不另列主次章。,官方B。兩股新DNA皆按5′→3′合成，落後股需岡崎片段；不是新股按3′→5′合成。真核染色體複製通常在S期；領先股DNA不以U替T，RNA引子含U是另一層次。題目指DNA polymerase III，採細菌複製機制而不誤稱人體酵素。,"322,323,324,325,326","371,372,373,374,375",Codex /root,TCU-115-R2-Q04
TCU-115-Q05,FORMAL,False,C,C,115年度2026-04-17釋疑維持C,2,2,1,6,questions/Q05.png,5767f8a9887fd4ddb9aae46f95fd26bb6a8d40966efa095196c72065c94b512c,L1085,17.5 / Types of Small-Scale Mutations,L1039,17.1 / Basic Principles of Transcription and Translation,17.5 / Types of Small-Scale Mutations：單鹼基置換的沉默、錯義、無義與插入／缺失造成移碼的區別。,17.1 / Basic Principles of Transcription and Translation：轉錄與轉譯的不同作用過程用來釐清D及官方釋疑的措辭。,官方維持C（釋疑PDF6）。單一置換本身不改變閱讀框；C卻寫「插入位置」，且移碼也不保證每個下游胺基酸都不同。D的RNA聚合酶立即終止轉錄不等同無義突變使核糖體終止轉譯，題意因此不夠嚴整。官方承認此語病，仍採C；官方以GAG→GTG示例使用DNA字母，mRNA應為GAG→GUG，「最可能無義」亦不能當成所有置換的機率結論。分類依突變型式，保留採計與科學差異。,"337,357,358,359","386,406,407,408",Codex /root,TCU-115-R2-Q05
TCU-115-Q06,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q06.png,611a95793051fd9613663efbbf665afbf80d06f24f1bc93128a106681e3a61f7,L1123,18.2 / Regulation of Chromatin Structure,,,18.2 / Regulation of Chromatin Structure：組蛋白乙醯化改變染色質可接近性屬染色質結構調控。,無另列最小次條目；主要問染色質鬆緊造成可接近性，18.2 Regulation of Chromatin Structure比一般起始調控更準確；B的通常條件保留。,官方B。乙醯化通常減弱帶正電組蛋白與DNA的結合，使染色質較開放、利於轉錄；不等同立即降解mRNA或阻止S期複製。「通常」須保留；組蛋白甲基化效果隨位點而異，不能由此泛稱所有甲基化都抑制。,"371,372,373","420,421,422",Codex /root,TCU-115-R2-Q06
TCU-115-Q07,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q07.png,1763518c9c85acc448dd96f8da1fa89ba4da7c144c37bbf3897a6a1e390db799,L2821,42.5 / Gills in Aquatic Animals,,,42.5 / Gills in Aquatic Animals：鰓的逆流交換沿交換面維持氧分壓梯度。,無另列最小次條目；本題明問鰓逆流交換氧梯度，42.5 Gills in Aquatic Animals直接涵蓋，毋須另造countercurrent最小目錄條目。,官方B。水與血液反向流動，使流經交換面的血液持續接觸較高氧分壓的水，氧因而擴散入血；同向流會逐漸接近平衡。「始終」指題設正常逆流模型，不是任何缺氧環境皆保證氧流入；沒有CO2轉成O2。,"940,941","989,990",Codex /root,TCU-115-R2-Q07
TCU-115-Q08,FORMAL,False,B,B,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q08.png,a6ab37ed11a5bcdb5202436fe4b78fcabaf81389ba02cab29c607425d6e5dfb3,L3212,48.3 / Conduction of Action Potentials,,,48.3 / Conduction of Action Potentials：有髓鞘軸突的節間電流及郎飛氏結動作電位再生屬動作電位傳導。,無另列最小次條目；局部電流確經軸漿，但動作電位再生仍依膜離子通道；A把兩者相斥不正確。主48.3傳導，B節點再生且保留不反應期。,官方B。節間局部電流沿軸漿傳播，動作電位主要在郎飛氏結再生；「跳」是功能描述，並非電流真的跨越空間不連續。A把胞質與膜硬分成替代關係不當，C混入突觸釋放，D不反應期仍存在。,"1075,1076,1077","1124,1125,1126",Codex /root,TCU-115-R2-Q08
TCU-115-Q09,FORMAL,False,D,D,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q09.png,eb2619297b554cdfba5c2cbfe74a001884b028175aee48a2677c5d02666fea94,L3245,49.1 / The Peripheral Nervous System,,,49.1 / The Peripheral Nervous System：自主神經交感／副交感分支的器官反應列於周邊神經系統。,無另列最小次條目；題目要求辨認交感系統整體效應，49.1周邊神經系統足以涵蓋；D正向，其他器官是例子，不做無必要跨章加權。,官方D。交感活化通常使心率上升、支氣管擴張；消化與排空受抑，瞳孔擴大，肝臟促進葡萄糖釋出。C的增加儲糖方向相反；分類不因心臟、氣道同時出現而再分散到循環呼吸章。,"1088,1089,1090","1137,1138,1139",Codex /root,TCU-115-R2-Q09
TCU-115-Q10,FORMAL,False,C,C,未列本輪取得的115年度生物釋疑PDF6–8；依同年答案，不宣稱沒有其他未取得公告,3,3,1,,questions/Q10.png,24186fc7462e98db48bb34c2df55d457d4f5139209407bcd077f1b6c7bf5eec1,L0724,11.3 / Small Molecules and Ions as Second Messengers,L0708,11.2 / Receptors in the Plasma Membrane,11.3 / Small Molecules and Ions as Second Messengers：直接比較cAMP、IP3、DAG與PIP2在第二傳訊者路徑中的角色。,11.2 / Receptors in the Plasma Membrane：H1/H2的背景涉及G蛋白偶聯受體啟動胞內路徑。,官方C。在教材典型PLC路徑，膜上PIP2被裂解為IP3與DAG，後兩者為第二傳訊者，cAMP亦是。此處將PIP2視為前驅膜脂，不是否定其在更廣細胞訊號網路的調節功能。實際PDF目錄為Small Molecules and Ions as Second Messengers，本地文字目錄漏掉Ions as；採真實PDF名稱且保留原文差異。,"217,218,223,224,225","266,267,272,273,274",Codex /root,TCU-115-R2-Q10
